1,VIGNE SAINT JEAN,08310&nbsp;Juniville
2,SOCIETE CIVILE D'EXPLOITATION VITICOLE DU FREBOURG,08000&nbsp;Charleville-Mézières
3,SOCIETE CIVILE D'EXPLOITATION VITICOLE Marie GAILLIOT et F SCEV Marie GAILLIOT et F,08310&nbsp;Saint-Etienne-à-Arnes
4,des CARELLES,08300&nbsp;Saint Loup en Champagne
5,SCEV THENAS,08190&nbsp;Le Thour
6,"VERGERS COURTOIS",08130&nbsp;Suzanne
7,ALLAIS DANIEL CLAUDE,08000&nbsp;CHARLEVILLE MEZIERES
8,GUERIN BRUNO,08300&nbsp;SAINT LOUP EN CHAMPAGNE
9,BROCHET JACQUES,08190&nbsp;POILCOURT SYDNEY
10,DEGLIN MAURICE,08300&nbsp;RETHEL
11,GONIN NATHALIE ODETTE,08200&nbsp;FLOING
12,INDIVISION CONTAL,08310&nbsp;JUNIVILLE
13,GAILLIOT MARIE,08310&nbsp;SAINT ETIENNE A ARNES
14,LES VIGNERONS DE SERVION,08150&nbsp;ROUVROY SUR AUDRY
15,MAURICE MARIE LAURE,08140&nbsp;DOUZY
16,LAPLAISE CLAUDE,08000&nbsp;CHARLEVILLE MEZIERES
17,FROMENTIN ROSE,08300&nbsp;SAINT LOUP EN CHAMPAGNE
18,GHELLER CLAUDINE,08000&nbsp;WARCQ
