1,SA DE LA BONTAT,19240&nbsp;Allassac
2,SCEA DU BUISSON,19270&nbsp;Donzenac
3,EARL ROCHE JEAN-LOUIS,19120&nbsp;Queyssac-les-Vignes
4,EXPLOITATION AGRICOLE A RESPONSABILITE LIMITEE LE COUVENT DE LA PROVIDENCE,19140&nbsp;Espartignac
5,PELADAN Francis Jean René,19160&nbsp;Neuvic
6,COUDERT JEAN LOUIS,19600&nbsp;Saint-Pantaléon-de-Larche
7,SOCIETE COOPERATIVE AGRICOLE CAVE VITICOLE DE BRANCEILLES LES VIGNERONS DE BRANCEILLES,19500&nbsp;Branceilles
8,SOCIETE CIVILE D'EXPLOITATION AGRICOLE LES COPAINS D'ABORD,19500&nbsp;Jugeals-Nazareth
9,CRAUFFON MICHEL EDOUARD,19500&nbsp;BRANCEILLES
10,MOUTON DIDIER FRANCOIS,19600&nbsp;SAINT CERNIN DE LARCHE
11,PARVEAUX ALBERT,19130&nbsp;VOUTEZAC
12,POMMEPUY JEAN PIERRE,19130&nbsp;VOUTEZAC
13,DESCHAMPS ARLETTE MARIE,19190&nbsp;AUBAZINE
14,ROCHETTE LUCETTE,19600&nbsp;CHASTEAUX
15,BLANCHARD GERMAINE,19240&nbsp;ALLASSAC
16,CLAUX GERMAINE JEANNINE,19400&nbsp;MONCEAUX SUR DORDOGNE
17,INDIVISION MIANE,19270&nbsp;USSAC
18,INDIVISION DUROY DELPECH,19240&nbsp;VARETZ
19,STE CIVILE CHATEAU BINET,19300&nbsp;EGLETONS
20,VLOGTMAN ERIC,19500&nbsp;BRANCEILLES
21,MOULENE JEAN-CHARLES,19500&nbsp;SAINT JULIEN MAUMONT
22,THYERE CLAUDINE,19120&nbsp;PUY D'ARNAC
23,BARRIERE MARIE,19500&nbsp;SAINT JULIEN MAUMONT
24,TRONCHE GERARD ALAIN SIMON,19500&nbsp;SAILLAC
25,CHANAT PASCAL ANDRE JEAN,19100&nbsp;BRIVE LA GAILLARDE
26,PUYJALON EMMANUEL,19500&nbsp;BRANCEILLES
27,VIALLE GILLES,19240&nbsp;ALLASSAC
28,MAURY JEAN,19240&nbsp;ALLASSAC
29,BOURDON NATHALIE ODETTE HENRIETTE,19120&nbsp;QUEYSSAC LES VIGNES
30,BARRIERE CHRISTIAN,19500&nbsp;SAINT JULIEN MAUMONT
31,BAVINCK DIT BAVE BERENDINUS,19240&nbsp;ALLASSAC
32,RAIMBAULT DOMINIQUE JEAN MICHEL,19270&nbsp;DONZENAC
33,PLANTADE JEAN-MARC,19350&nbsp;JUILLAC
34,BODIGUEL PIERRE ALEXANDRE LUC MARIE,19600&nbsp;LISSAC SUR COUZE
35,MATIGNON PATRICE,19240&nbsp;ALLASSAC
36,MAURY RENE,19240&nbsp;ALLASSAC
37,CHAUVET ALAIN,19130&nbsp;VOUTEZAC
38,CHAUFFIER CHRISTIAN,19130&nbsp;VOUTEZAC
39,PAAUW KEES,19130&nbsp;VOUTEZAC
40,CHAUMONT SYLVIE CAROLINE,19240&nbsp;ALLASSAC
41,ROUX LOUIS JEAN,19500&nbsp;CHAUFFOUR SUR VELL
42,VAYNE HERVE,19310&nbsp;YSSANDON
43,CONSTANTY LAURENT,19600&nbsp;SAINT PANTALEON DE LARCHE
44,FAURIE ANNE-MARIE,19100&nbsp;BRIVE LA GAILLARDE
45,SOULIE PHILIPPE,19500&nbsp;BRANCEILLES
46,CHASTANET SIMONE,19120&nbsp;LA CHAPELLE AUX SAINTS
47,ASSELINEAU DENIS,19130&nbsp;VOUTEZAC
48,MOULENE NICOLE,19120&nbsp;SIONIAC
49,HOSPITAL EMILIENNE LEA,19120&nbsp;QUEYSSAC LES VIGNES
50,DELMON PIERRE,19240&nbsp;ALLASSAC
51,POMAREL SOPHIE,19600&nbsp;LISSAC SUR COUZE
52,TRONCHE ANTOINE MARTIAL,19120&nbsp;QUEYSSAC LES VIGNES
53,NOEL SEVERIN ELIE,19500&nbsp;BRANCEILLES
54,MONMAUR JEAN PIERRE,19500&nbsp;MARCILLAC LA CROZE
55,LEYMAT REGINE,19500&nbsp;BRANCEILLES
56,LEYMAT GEORGES,19500&nbsp;BRANCEILLES
57,GINIBRIERE HUGUETTE MARIE JEANN,19120&nbsp;LIOURDRES
58,GILARDEAU JOEL,19500&nbsp;BRANCEILLES
59,AVRIL PHILIPPE,19320&nbsp;ARGENTAT-SUR-DORDOGNE
60,ENGBLAD MAGNE,19270&nbsp;USSAC
