1,LVP,40260&nbsp;LINXE
2,PRO AGRI,40300&nbsp;Peyrehorade
3,DE MONTESQUIOU CLAIRE,40240&nbsp;MAUVEZIN D'ARMAGNAC
4,Château de Durette,4000&nbsp;Liege
5,SCEA DE FONTANELIS,40190&nbsp;Hontanx
6,EARL DE CHAMALE,40320&nbsp;Pécorade
7,EARL 2 BALOT,40310&nbsp;Escalans
8,VIGNE ET DISTILLATS,40190&nbsp;Villeneuve-de-Marsan
9,SCEA LES VIGNES DU CHEMIN DE CAMENTRON,40660&nbsp;Messanges
10,SCEA LES VIGNES DE CAPBRETON,40130&nbsp;Capbreton
11,EARL JC ROMAIN ET FILS,40350&nbsp;Pouillon
12,EARL LAFOURCADE,40300&nbsp;Hastingues
13,SCEA CHATEAU TOUR BLANC,40310&nbsp;PARLEBOSCQ
14,EARL JOSETTE ET CORINNE LACOSTE,40190&nbsp;HONTANX
15,EARL MAURICE,40320&nbsp;Saint-Loubouer
16,SCEA DOMAINE D'EYRES,40500&nbsp;Eyres-Moncube
17,SCEA DULUCQ,40320&nbsp;Payros-Cazautets
18,SCA DE BRIAT,40240&nbsp;MAUVEZIN D ARMAGNAC
19,SCEA DE LACAZE,40310&nbsp;Gabarret
20,EARL DE CHARRON,40090&nbsp;Bougue
21,EARL CLAVE DE LABOUC,40240&nbsp;LABASTIDE D'ARMAGNAC
22,EARL COTES DE SARON,40320&nbsp;Geaune
23,EARL DU PINTRE,40320&nbsp;Saint-Loubouer
24,EARL DU TASTET,40290&nbsp;Mouscardès
25,EARL LABERDOULIVE FABIEN,40240&nbsp;LABASTIDE D ARMAGNAC
26,LE CHAI PUYOLAIS,40320&nbsp;Puyol-Cazalet
27,EARL SAUBANERE,40320&nbsp;EUGENIE LES BAINS
28,EARL LASSEIGNOU,40190&nbsp;Le Freche
29,SCEA DES AUGUSTINS,40320&nbsp;Geaune
30,EARL DE L'ARMAGNAC,40190&nbsp;Le Freche
31,SCEA DUPOUY,40320&nbsp;Puyol-Cazalet
32,SCEA VIGNOBLES DULUCQ,40320&nbsp;Payros-Cazautets
33,SCEA CHATEAU GARREAU,40240&nbsp;Labastide-d'Armagnac
34,GAEC DES VALLONS,40320&nbsp;VIELLE TURSAN
35,SCEA DOMAINE DE PAGUY,40240&nbsp;Betbezer d'Armagnac
36,EARL LAFITTE,40240&nbsp;LABASTIDE D'ARMAGNAC
37,EARL LEGENDRE,40320&nbsp;Saint-Loubouer
38,SCEA LACOURTOISIE,40240&nbsp;LABASTIDE D'ARMAGNAC
39,SCEA DU DOMAINE DE CAOU,40310&nbsp;GABARRET
40,EARL BIGNOLLES,40190&nbsp;Perquie
41,EARL DOMAINE DE CAVAILLON,40240&nbsp;LABASTIDE D'ARMAGNAC
42,SCEA DU CAVE,40310&nbsp;Gabarret
43,EARL DE PORTETENI,40240&nbsp;Créon-d'Armagnac
44,LES PITCHOUNETS,40320&nbsp;Saint-Loubouer
45,GFA SAINT JULIEN,40240&nbsp;Saint-Julien-d'Armagnac
46,SCEA DOMAINE DE HAUBET,40310&nbsp;Parleboscq
47,SCEA DU DOMAINE DE RAVIGNAN,40190&nbsp;PERQUIE
48,SOCIETE CIVILE DU CHATEAU MEYRE,40700&nbsp;HAGETMAU
49,SOCIETE CIVILE DE CUIRIEU,40180&nbsp;Goos
50,JORDANA JACQUES MAURICE,40270&nbsp;LE VIGNAU
51,SARNIN JEAN MICHEL,40240&nbsp;LABASTIDE D'ARMAGNAC
52,ARIES MARIE CHRISTINE,40310&nbsp;PARLEBOSCQ
53,LAFARGUE JEAN LOUIS,40320&nbsp;MIRAMONT SENSACQ
54,LAUGA JEAN PIERRE,40240&nbsp;LABASTIDE D'ARMAGNAC
55,LARTIGUE JEAN MARC,40240&nbsp;LAGRANGE
56,TRAMONT JEAN CLAUDE,40310&nbsp;PARLEBOSCQ
57,DUPOUY THIERRY,40320&nbsp;EUGENIE LES BAINS
58,POUBLAN MICHEL,40320&nbsp;URGONS
59,ANTONELLO ROMANE,40240&nbsp;LAGRANGE
60,DUGARRY JEAN MARC,40320&nbsp;SAINT LOUBOUER
61,CARBOUE JEAN LUC,40310&nbsp;PARLEBOSCQ
62,LAFITTE FRANCIS,40320&nbsp;CLEDES
63,LAFITEAU CHRISTIAN,40320&nbsp;CLEDES
64,LANNEPOUDENX JEAN CLAUDE,40320&nbsp;CASTELNAU TURSAN
65,GOUTAILLE JEAN-CLAUDE,40240&nbsp;SAINT JUSTIN
66,FRAYRET MARIE-BERNADETTE,40240&nbsp;SAINT JUSTIN
67,LAFITTE JEAN-GERARD,40090&nbsp;UCHACQ ET PARENTIS
68,BAUGE MARIE-THERESE,40320&nbsp;VIELLE TURSAN
69,FORT PIERRE-BERNARD,40320&nbsp;CLASSUN
70,DE BOUGLON BEATRICE,40240&nbsp;LABASTIDE D'ARMAGNAC
71,SARRAMAGNAN JEAN-JOSEPH MICHEL,40320&nbsp;MIRAMONT SENSACQ
72,FOURCADE ALAIN JEAN-LUC,40190&nbsp;MONTEGUT
73,SAINT-SEVIN LOUIS,40090&nbsp;BOUGUE
74,DUBOS RAOUL,40190&nbsp;BOURDALAT
75,LASSERRE PIERRE ANDRE,40800&nbsp;DUHORT BACHEN
76,SENTOU BRUNO GABRIEL,40240&nbsp;LAGRANGE
77,MOREL JEAN-JACQUES,40310&nbsp;PARLEBOSCQ
78,BASTIE CHRISTINE GENEVIEVE,40310&nbsp;PARLEBOSCQ
79,LAPEYRE REGINE MARIE,40320&nbsp;PAYROS CAZAUTETS
80,MOREL ANNE-LISE,40190&nbsp;PERQUIE
81,GUILLON JOSETTE FRANCOISE,40310&nbsp;PARLEBOSCQ
82,CATUHE JEAN-LOUIS PHILIPPE,40320&nbsp;SAINT LOUBOUER
83,LALUQUE CHRISTIAN,40460&nbsp;SANGUINET
84,FOURCADE JACQUES JEAN,40190&nbsp;MONTEGUT
85,VALERI FERNANDE,40190&nbsp;HONTANX
86,MARSAN BERNARD-GABRIEL,40320&nbsp;SORBETS
87,DALBON MONIQUE ODETTE,40190&nbsp;MONTEGUT
88,SAUTEDE LOUIS MICHEL,40240&nbsp;SAINT JUSTIN
89,CHARLEMAGNE LUCETTE,40120&nbsp;SARBAZAN
90,FAGET MONIQUE,40240&nbsp;LABASTIDE D'ARMAGNAC
91,LABROUCHE GERARD,40320&nbsp;VIELLE TURSAN
92,VINCENT REGINE,40700&nbsp;HORSARRIEU
93,CROMBEZ DE MONTMORT GENENIEVE,40190&nbsp;BOURDALAT
94,LAMORERE MARIE JEANNE,40500&nbsp;COUDURES
95,DUTOYA JOEL,40320&nbsp;PECORADE
96,MARCON MARIE MADELEINE,40190&nbsp;VILLENEUVE DE MARSAN
97,PANTAIGNAN BERNARD,40320&nbsp;BATS
98,CAZALETS JEROME,40320&nbsp;BAHUS SOUBIRAN
99,SARROT RENEE,40310&nbsp;PARLEBOSCQ
100,DE COINCY LOUIS JOSEPH,40310&nbsp;ESCALANS
101,DOMAINE DE RAVIGNAN,40190&nbsp;PERQUIE
102,GAUBE ALAIN BERNARD,40240&nbsp;LABASTIDE D'ARMAGNAC
103,SEBIE DANIEL,40190&nbsp;HONTANX
104,CHIBERRY PIERRE,40240&nbsp;LABASTIDE D'ARMAGNAC
105,FACCA DAVID,40320&nbsp;SORBETS
106,CORNUT DE LAFONTAINE ARNAUD,40310&nbsp;ESCALANS
107,DEKENS STEPHANE,40500&nbsp;COUDURES
108,UROSEVIC AGNES,40190&nbsp;LE FRECHE
109,LUGARDON JACQUELINE,40190&nbsp;HONTANX
110,INDIVISION DESTRIBATS-DOMAINE DU PIN,40240&nbsp;LABASTIDE D'ARMAGNAC
111,INDIVISION MOREL,40310&nbsp;PARLEBOSCQ
112,DUPONT ANDRE,40190&nbsp;PUJO LE PLAN
113,BROS BENOIT,40310&nbsp;PARLEBOSCQ
114,LAPEYRE BERNARD GERMAIN,40320&nbsp;PAYROS CAZAUTETS
115,DARRABA ROGER MARCEL,40190&nbsp;HONTANX
116,BADETZ THERESE,40180&nbsp;BENESSE LES DAX
117,ESPOSITO MARIE THEREZE,40380&nbsp;POYANNE
118,BOUHEYRE FRANCOISE,40370&nbsp;BEYLONGUE
119,GOALARD MARIE,40170&nbsp;LIT ET MIXE
120,LARRODE GEORGES,40300&nbsp;SAINT LON LES MINES
121,MIREMONT MARGUERITE,40300&nbsp;HASTINGUES
122,SIBERCHICOT MARIE THERESE,40180&nbsp;HEUGAS
123,COUSSAU JEAN,40140&nbsp;MAGESCQ
124,GACHET PASCAL,40170&nbsp;SAINT JULIEN EN BORN
125,SAEZ REMI,40350&nbsp;GAAS
126,GRUES JEAN JOSEPH,40380&nbsp;GAMARDE LES BAINS
127,COUDROY ANDRE,40465&nbsp;PONTONX SUR L'ADOUR
128,LABORDE PHILIPPE,40300&nbsp;ORTHEVIELLE
129,BOUE JEAN CHARLES,40330&nbsp;BRASSEMPOUY
130,DULIN JEAN-JACQUES,40310&nbsp;GABARRET
131,DESTENAVE JEAN,40320&nbsp;SAINT LOUBOUER
132,BERSON PASCAL,40320&nbsp;CLEDES
133,GARROS PHILIPPE ANDRE,40310&nbsp;PARLEBOSCQ
134,TARBE JEAN,40240&nbsp;LABASTIDE D'ARMAGNAC
135,BAQUE JEAN-JACQUES,40320&nbsp;PECORADE
136,CASSAGNE PIERRE,40240&nbsp;BETBEZER D'ARMAGNAC
137,BOUEILH JEAN LOUIS,40500&nbsp;MONTSOUE
138,LABROUCHE PHILIPPE JEAN-RENE,40320&nbsp;VIELLE TURSAN
139,GARBAGE JEAN LUC,40190&nbsp;ARTHEZ D'ARMAGNAC
140,CLABE-BIARNES GUY,40320&nbsp;SAINT LOUBOUER
141,ESCOUBET MARYSE PATRICIA,40240&nbsp;LABASTIDE D'ARMAGNAC
142,MOREL PIERRE ALBERT,40190&nbsp;PERQUIE
143,LAUDET CYRIL,40310&nbsp;PARLEBOSCQ
144,CORDEROY DU TIERS HENRI,40190&nbsp;PERQUIE
145,VILLENAVE MICHEL JACQUES,40190&nbsp;BOURDALAT
146,DESCAZEAUX FRANCIS,40320&nbsp;EUGENIE LES BAINS
147,DUPORTE THOMAS YANNICK,40190&nbsp;LE FRECHE
148,INDIVISION PONGE,40190&nbsp;PERQUIE
149,DUBROCA CHRISTIAN JEAN-MARIE,40500&nbsp;EYRES MONCUBE
