1,SCEA BALERYS,59000&nbsp;Lille
2,SOCIETE D'EXPLOITATION VIGNOBLES PERE VERGE,59650&nbsp;Villeneuve d'Ascq
3,LAMARCHE,59650&nbsp;Villeneuve d'Ascq
4,SOCIETE CIVILE DU CHATEAU DE MONTVIEL,59650&nbsp;Villeneuve d'Ascq
5,Sas Domaine Raphaël,59840&nbsp;Pérenchies
6,DE L'OBEAU,59242&nbsp;Cappelle-en-Pévèle
7,LA GRANDE BARDE,59700&nbsp;Marcq-en-Baroeul
8,DEBAECKER JACQUES JEAN PIERRE,59114&nbsp;EECKE
9,WALLON JEAN NOEL CESAIRE,59400&nbsp;SERANVILLERS FORENVILLE
10,SCEA DE LA POSTE,59139&nbsp;WATTIGNIES
11,GHESQUIERES ANNE CATHERINE ODILE,59910&nbsp;BONDUES
12,CARTON NICOLE MARIA,59470&nbsp;HERZEELE
