1,VINS GIGOU,72340&nbsp;La Chartre-sur-le-Loir
2,CHAMPION OLIVIER,72340&nbsp;LOIR EN VALLEE
3,DOMAINE DES GALBRUNIERES,72340&nbsp;Beaumont sur dème
4,SCEA CHATEAU DE BENEHARD,72340&nbsp;Chahaignes
5,SARL LE BRISEAU,72340&nbsp;Marcon
6,EARL DOMAINE DE LA ROCHE BLEUE,72340&nbsp;Marcon
7,DOMAINE DE BELLIVIERE,72340&nbsp;Lhomme
8,EARL DOMAINE DE LA RADERIE,72340&nbsp;Chahaignes
9,EARL Jean-Marc RIMBAULT,72340&nbsp;Marcon
10,SOCIETE CIVILE D'EXPLOITATION AGRICOLE VINS MICHEL BOULAY,72250&nbsp;PARIGNE L'EVEQUE
11,GAEC BAZOGE,72290&nbsp;SOULIGNE SOUS BALLON
12,EXPLOITATION AGRICOLE A RESPONSABILITE LIMITEE DANGEUL,72390&nbsp;DOLLON
13,EARL FRESNEAU,72340&nbsp;Marcon
14,CHATEAU MONGIRON,72600&nbsp;Neufchâtel-en-Saosnois
15,CHATEAU L'HERMITAGE LESCOURS,72600&nbsp;Neufchâtel-en-Saosnois
16,LES CRUS DU TSAR,72600&nbsp;Saint-Longis
17,PINON JEAN BAPTISTE,72340&nbsp;LHOMME
18,DAVID THIERRY,72500&nbsp;LUCEAU
19,SCEV VL,72340&nbsp;LA CHARTRE SUR LE LOIR
20,PIOGE MAURICE,72110&nbsp;BEAUFAY
21,POUPEE ALBERT RENE,72500&nbsp;SAINT PIERRE DE CHEVILLE
22,RIOLON REMI PIERRE,72150&nbsp;SAINT PIERRE DU LOROUER
23,BEAUMONT MARTIAL,72800&nbsp;AUBIGNE RACAN
24,VEAU ARMEL LOUIS AUGUSTE,72300&nbsp;LA CHAPELLE D ALIGNE
25,DUPUY JEAN CAMILLE,72500&nbsp;DISSAY SOUS COURCILLON
26,RENVOISE SYLVERE GILBERT,72340&nbsp;LHOMME
27,CHEVALLIER ROBERT,72800&nbsp;LE LUDE
28,GONSARD MICHEL HENRI GABRIEL,72340&nbsp;RUILLE SUR LOIR
29,SCEA DU CHATEAU BELLEVUE,72430&nbsp;AVOISE
30,BERNARD ROBERT,72510&nbsp;CHATEAU L'HERMITAGE
31,LEROUX JACQUELINE,72500&nbsp;DISSAY SOUS COURCILLON
32,RADEPONT RENE FERNAND,72330&nbsp;OIZE
33,BIZERY GINETTE,72200&nbsp;LA FLECHE
34,ERNOULT MONIQUE RENEE,72340&nbsp;RUILLE SUR LOIR
35,GOURIOU CAMILLE,72340&nbsp;MARCON
36,LEROUX RENE,72340&nbsp;RUILLE SUR LOIR
37,RAVENEAU DOMINIQUE VICTOR ALAIN,72340&nbsp;MARCON
38,BIDAULT LUDOVIC,72340&nbsp;LHOMME
39,DORON HENRI CLAUDE JEAN,72120&nbsp;MONTAILLE
40,HESNAULT THIERRY FRANCK,72340&nbsp;CHAHAIGNES
41,JAMBU YVES ANDRE GILBERT,72340&nbsp;BEAUMONT SUR DEME
42,MOREAU ANTHONY,72340&nbsp;MARCON
43,ROSSIGNOL PHILIPPE ROBERT GERARD,72300&nbsp;PARCE SUR SARTHE
44,ROUZIERE MICHEL DENIS,72200&nbsp;LA FLECHE
45,HAMELIN CLAUDE ALEXANDRE,72140&nbsp;PARENNES
46,ROSSARD DE MIANVILLE C,72340&nbsp;LHOMME
47,PRADELLE PIERRE,72340&nbsp;MARCON
48,NOURRY WARREN,72340&nbsp;LHOMME
49,ASSOCIATION VITICOLE DE LA SARTHE,72500&nbsp;MONTVAL SUR LOIR
50,LELAIS REYNAL,72340&nbsp;RUILLE SUR LOIR
51,JANVIER PASCAL,72340&nbsp;RUILLE SUR LOIR
52,RENVOISE JEAN-MARIE GILBERT,72340&nbsp;CHAHAIGNES
53,JARDIN BENOIT,72340&nbsp;RUILLE SUR LOIR
54,BOUHOURS MICHEL ANDRE RENE,72500&nbsp;MONTVAL SUR LOIR
55,ROBINOT JEAN-PIERRE ROBERT,72340&nbsp;CHAHAIGNES
56,BRETON REGIS,72340&nbsp;BEAUMONT SUR DEME
57,NOURY CORINNE,72340&nbsp;RUILLE SUR LOIR
58,VOISIN JEANNINE,72500&nbsp;MONTVAL SUR LOIR
59,GRINIER ROSE MARIE,72310&nbsp;LOIR EN VALLEE
