1,LES VIGNOBLES MERCIER,85770&nbsp;Vix
2,EARL F.MURAIL,85320&nbsp;La Couture
3,GAEC DOMAINE DES ILES,85670&nbsp;Saint-Etienne-du-Bois
4,EXPLOITATION AGRICOLE A RESPONSABILITE LIMITEE DOMAINE COIRIER,85200&nbsp;Pissotte
5,EARL LE VAL MARIE,85320&nbsp;Château-Guibert
6,CLOS SAINT ANDRE,85320&nbsp;Mareuil-sur-Lay-Dissais
7,EARL ALAIN MARAQUIN,85320&nbsp;La Couture
8,EARL ORION PERE ET FILS,85110&nbsp;Chantonnay
9,SCEV FAGOT-DAPREMONT,85310&nbsp;Rives de l'Yon
10,MOULIN BLANC,85320&nbsp;Mareuil-sur-Lay-Dissais
11,EXPLOITATION AGRICOLE A RESPONSABILITE LIMITEE VIGNOBLE EPIARD,85660&nbsp;Saint-Philbert-de-Bouaine
12,Exploitation Agricole à Responsabilité Limitée DOMAINE DE PIERRE FOLLE,85320&nbsp;Rosnay
13,EARL LA ROSE SAINT MARTIN,85470&nbsp;Brem-sur-Mer
14,DOMAINE SAINT NICOLAS,85470&nbsp;Brem-sur-Mer
15,GFA CHATEAU DE LA PREUILLE,85600&nbsp;Saint-Hilaire-de-Loulay
16,GAEC VIGNOBLE MACQUIGNEAU-BRISSON,85320&nbsp;Rosnay
17,EARL CHATEAU DE ROSNAY,85320&nbsp;Rosnay
18,CLOS DU FIEF EARL,85440&nbsp;Poiroux
19,CHATEAU MARIE DU FOU,85320&nbsp;Mareuil-sur-Lay-Dissais
20,LES VIEILLES LANDES,85220&nbsp;Landevieille
21,EARL LA GRANDE VILLENEUVE,85670&nbsp;Saint-Etienne-du-Bois
22,EXPLOITATION AGRICOLE A RESPONSABILITE LIMITEE LE DOMAINE DU VIEUX PRESSOIR,85440&nbsp;Talmont-Saint-Hilaire
23,MICHAUD ROBERT RAYMOND,85440&nbsp;TALMONT SAINT HILAIRE
24,LAPORTE JOSEPH,85250&nbsp;CHAVAGNES EN PAILLERS
25,GARANDEAU GERARD PAUL DIDIER,85470&nbsp;BREM SUR MER
26,MERLET AUGUSTIN,85500&nbsp;SAINT PAUL EN PAREDS
27,GABORIEAU BERNARD,85660&nbsp;SAINT PHILBERT DE BOUAINE
28,FETIVEAU CHRISTOPHE,85670&nbsp;LA CHAPELLE PALLUAU
29,RENAUD JEANNE,85660&nbsp;SAINT PHILBERT DE BOUAINE
30,LEBEAU PHILBERT,85320&nbsp;ROSNAY
31,BOUREAU NOELLE,85320&nbsp;ROSNAY
32,NOBIRON PAUL,85340&nbsp;OLONNE SUR MER
33,CROCHET GAEL,85470&nbsp;BREM SUR MER
34,GENTREAU ANNIE MARIE FRANCOIS,85320&nbsp;MAREUIL SUR LAY DISSAIS
35,GIRAUDEAU ROGER AUGUSTIN JEAN,85470&nbsp;BREM SUR MER
36,BABIN MICHELE,85320&nbsp;LA COUTURE
37,BENOIT NICOLLE MARIE THERES,85540&nbsp;LE CHAMP SAINT PERE
38,BARBEAU MARGUERITE MARIE EUG,85470&nbsp;BREM SUR MER
39,FORTIN JEANNINE MICHELLE OD,85470&nbsp;BREM SUR MER
40,BERNARD GILLES LOUIS LEOPOLD,85300&nbsp;SOULLANS
41,BROSSARD MICHEL,85120&nbsp;LOGE FOUGEREUSE
42,BURNELEAU VITALINE,85190&nbsp;VENANSAULT
43,RAUTUREAU ANNICK,85600&nbsp;LA GUYONNIERE
44,DE LESTRANGE JEAN MARIE PIERRE,85510&nbsp;LE BOUPERE
45,BERTHOME JEAN-LUC,85320&nbsp;ROSNAY
46,RAMBAUD ARSENE JEAN FRANCOIS,85320&nbsp;ROSNAY
47,VAIRE GABRIEL PHILIPPE,85300&nbsp;SALLERTAINE
48,NICOLLEAU GENEVIEVE,85220&nbsp;APREMONT
49,GIRARD ALBERT,85300&nbsp;SALLERTAINE
50,ROCHEREAU MARIE-JOSEPHE RENEE,85320&nbsp;ROSNAY
51,CASTEILLA ANNE,85350&nbsp;L' ILE D'YEU
52,BUET FREDERIC,85170&nbsp;SAINT DENIS LA CHEVASSE
53,MORINEAU SERGE,85440&nbsp;POIROUX
54,JARD OLIVIER,85320&nbsp;MAREUIL SUR LAY DISSAIS
55,GUINEMENT ERNEST GABRIEL MARCE,85480&nbsp;SAINT HILAIRE LE VOUHIS
56,FIEVRE GUY,85140&nbsp;ESSARTS EN BOCAGE
57,SAGE ERIC MARCEL GERARD,85470&nbsp;BREM SUR MER
58,BOLTEAU THEOPHILE,85260&nbsp;LES BROUZILS
59,BONNEAU MICHEL JOSEPH LOUIS,85700&nbsp;SEVREMONT
60,BOURRAUD EDMOND GERMAIN CLAUD,85310&nbsp;RIVES DE L'YON
61,BEIGNON MARIE GENEVIEVE,85140&nbsp;ESSARTS EN BOCAGE
62,RENAUD PHILIPPE JEAN LOUIS,85660&nbsp;SAINT PHILBERT DE BOUAINE
63,LIMOUZIN JEAN-LUC,85570&nbsp;SAINT VALERIEN
64,ARNAUD MICHEL GASTON JACQUE,85320&nbsp;ROSNAY
65,RICHARD JEAN PIERRE MICHEL I,85470&nbsp;BREM SUR MER
66,BLANCHET NOEL MARIE,85770&nbsp;VIX
67,TARD JEAN-MARC,85310&nbsp;RIVES DE L'YON
68,CHAUVEAU ALAIN,85320&nbsp;ROSNAY
69,PAJOT LAURENT MICHEL,85470&nbsp;BREM SUR MER
70,NOBIRON CHRISTIAN DIDIER PAUL DENIS,85340&nbsp;OLONNE SUR MER
71,BERNARD JULIE AGNES,85190&nbsp;AIZENAY
72,DORMEGNIES THOMAS,85520&nbsp;SAINT VINCENT SUR JARD
