1,BLOSSOMFRANCE,78180&nbsp;Montigny-le-Bretonneux
2,STE CHATEAU BEL AIR,78000&nbsp;VERSAILLES
3,GROUPEMENT FONCIER AGRICOLE LES BUTTES ROUGES,78120&nbsp;Sonchamp
4,CHATEAU DE BOURDEAU,78470&nbsp;Saint-Rémy-lès-Chevreuse
5,Société Civile d'Exploitation Agricole "Jardin d'Ava",78500&nbsp;Sartrouville
6,GFA BERTRAND GONTARD,78440&nbsp;Fontenay Saint-Père
7,SCEA AMICOLVIN,78770&nbsp;Auteuil
8,GROUPEMENT FONCIER AGRICOLE G.F.A. LES BAUMES,78530&nbsp;Buc
9,SOCIETE CIVILE D'EXPLOITATION AGRICOLE EDMUNDSON-REMUS WINES,78230&nbsp;Le Pecq
10,SCA CHATEAU DES NOYERS,78100&nbsp;SAINT GERMAIN EN LAYE
11,LECLAPART JACQUES,78480&nbsp;VERNEUIL SUR SEINE
12,D AVOUT D AVERSTAEDT ALIX,78100&nbsp;SAINT GERMAIN EN LAYE
13,BEGE GILBERT,78750&nbsp;MAREIL MARLY
14,LE CLOS DES VIEILLES VIGNES,78360&nbsp;MONTESSON
