1,DOMAINE D'ANDERT,01300;Andert et Condon
2,PRESSOIR DESPOTS,02850;Trélou-sur-Marne
3,BARON FUENTE,02310;Charly-sur-Marne
4,SOCIETE VINICOLE DE CRAONNELLE,02160;Craonnelle
5,SOCIETE COOPERATIVE VITICOLE "LA GRAPILLERE" de PASSY BARZY SUR MARNE - SOCIETE COOPERATIVE AGRICOLE,02850;Passy-sur-Marne
6,SOCIETE COOPERATIVE VINICOLE D'AULNOIS - SOCIETE COOPERATIVE AGRICOLE,02310;Domptin
7,"SOCIETE COOPERATIVE VINICOLE DE LA VALLEE DE LA MARNE - COVAMA", sigle "COVAMA". Numéro d'agrément N.23.62, Société coopérative agricole,02400;Château-Thierry
8,GAUCHY Fabrice,02850;Passy-sur-Marne
9,PICART CLAUDE,02330;VALLEES EN CHAMPAGNE
10,CHAMPAGNE DE MANSIN,10250;Gye-sur-Seine
11,ETABLISSEMENTS PHILIPPE HERARD,10250;Neuville-sur-Seine
12,SARL SENEZ FRERES,10360;Essoyes
13,GAULLET ET FILS,10200;Bar-sur-Aube
14,CLERGEOT PERE ET FILS,10340;Les Riceys
15,SARL CHANZEUX,10110;Bar-sur-Seine
16,CHAMPAGNE LAURENTI PERE ET FILS,10340;Les Riceys
17,CHAMPAGNE ARNAUD DE CHEURLIN,10110;Bar-sur-Seine
18,ETS HERARD & FLUTEAU,10250;Gye-sur-Seine
19,CHAMPAGNE FEVRIER JEAN-MARIE,10250;Gye-sur-Seine
20,SAS DANGIN-MOUTARD,10110;Polisy
21,SARL PRESSOIRS MARIE DAVINA,10360;Fontette
22,COQUARD PRESSURAGE,10200;Bergères
23,SARL PRIEUR LABONDE,10200;BERGERES
24,BERTRAND BRIGANDAT,10340;Channes
25,SARL RAYMOND HENRIOT,10110;POLISOT
26,CHAMPAGNE MATHIEU LAURENTI,10340;Les Riceys
27,SARL CHAMPAGNE JEAN-CLAUDE PORTE,10110;MERREY SUR ARCE
28,DEMETS BREMENT,10250;Gye-sur-Seine
29,SAS CHAMPAGNE GREMILLET,10110;Balnot-sur-Laignes
30,COESSENS,10110;Ville sur Arce
31,SARL "TP PETIT",10200;Bar-sur-Aube
32,ROLLIN VENDANGES,10340;Bragelogne-Beauvoir
33,DAUTEL,10110;Loches sur Ource
34,SARL ETIENNE FRERES,10200;MEURVILLE
35,LES VIGNERONS DE L'UNION AUBOISE, SOCIETE COOPERATIVE VITICOLE,10110;Bar-sur-Seine
36,CHAMPENOISE SAINT SYLVESTRE,10200;Lignol-le-Château
37,CLAIR FRERES,10360;ESSOYES
38,SOCIETE COOPERATIVE VINICOLE DE LA REGION DE BAROVILLE,10200;Baroville
39,PRESSOIR VINCENT LAMOUREUX,10340;LES RICEYS
40,A.C.H. ET CIE,10340;Bagneux-la-Fosse
41,SOCIETE COOPERATIVE VINICOLE "LES COTEAUX DU LANDION",10200;Meurville
42,CHAMPAGNE CHASSENAY D'ARCE,10110;Ville sur Arce
43,SCA DE COLOMBE LE SEC ET ENVIRONS,10200;Colombe-le-Sec
44,TAPPREST LADRET,10200;Meurville
45,BRISSON Lysiane Denise Hélène,10200;Rouvres-les-Vignes
46,SICA SARL A CAPITAL VARIABLE LE RENOUVEAU CHAMPENOIS,10110;Balnot-sur-Laignes
47,CHRISTELLE BOURDICAUD,10340;Channes
48,CHAMPAGNE CRETOL BRUN,10250;Neuville-sur-Seine
49,BERNARD Catherine, Corine,10110;Polisy
50,SICA DES VIGNERONS AUBOIS REUNIS,10340;Les Riceys
51,SARL BERNARDIN FRERES,10250;Mussy-sur-Seine
52,MOUGIN Laurent Maurice Andre,10200;BAR SUR AUBE
53,SOCIETE COOPERATIVE DE NEUVILLE ET BUXEUIL,10250;Neuville-sur-Seine
54,BELIARD LASSAIGNE,10300;Montgueux
55,CHAMPAGNE CHARLES COLLIN,10360;Fontette
56,VINCENT B.,10200;BAROVILLE
57,SARL COTTET DUBREUIL,10250;Courteron
58,UNION AUBOISE,10110;Bar-sur-Seine
59,ROBERT BERNARD ET FILS,10200;Voigny
60,"DE LA CURE",10360;Noé-les-Mallets
61,SARL PRESSOIR LES VAULONS,10340;Les Riceys
62,PRESSOIRS GUIGNOT PERE ET FILS,10360;Fontette
63,SARL CHAMPAGNE HUTINEL MICHEL,10250;Mussy-sur-Seine
64,CHAMPAGNE CRETOL ET FILS,10250;NEUVILLE SUR SEINE
65,HENRIOT RAYMOND,10110;POLISOT
66,ROBIN JACQUES PIERRE,10110;BUXIERES SUR ARCE
67,MAISON ANTECH,11300;Limoux
68,DOMAINE ROSIER,11300;LIMOUX
69,SOCIETE DES ETS JOSEPH SALASAR,11260;Campagne-sur-Aude
70,MAISON GUINOT,11300;LIMOUX
71,VALOR VIGNES,11300;Pieusse
72,LES VIGNERONS DU SIEUR D'ARQUES,11300;Limoux
73,RIVAROSE,13300;Salon-de-Provence
74,VINOTHERAPEUTES,13008;Marseille
75,VIROULAUD LAURENT,16200;MERIGNAC
76,CHARLEMAGNE,16000;Angoulême
77,BERNARD HUGUETTE,17800;PONS
78,KRITER BRUT DE BRUT,21200;Beaune
79,MAISON LOUIS BOUILLOT,21700;Nuits-Saint-Georges
80,LES PETITS FILS DE VEUVE AMBAL,21200;Montagny-les-Beaune
81,MAISON PARIGOT & RICHARD,21420;Savigny-les-Beaune
82,GIE VINI DIE,26340;Vercheny
83,LA CAVE DE DIE JAILLANCE,26150;Die
84,BERDOULET PATRICK HENRI MAURIC,32400;VIELLA
85,ROCA FRANCOISE PIERRETTE,32400;VIELLA
86,CELENE,33550;Haux
87,MAISON REMY BREQUE,33240;SAINT GERVAIS
88,LES CORDELIERS,33330;Saint-Emilion
89,S.V.M. SOCIETE DES VINS MOUSSEUX,33450;SAINT LOUBES
90,JEAN & PAUL LATEYRON LATEYRON JEAN & PAUL LATEYRON J & P,33570;Montagne
91,ETABLISSEMENTS MONS MALERET,33330;Saint-Emilion
92,CAVES DU VAL DE FRANCE,37210;Vouvray
93,SORET,37210;Vouvray
94,MAISON BREDIF,37210;Rochecorbon
95,BERGER ELABORATEURS,37270;Saint-Martin-Le-Beau
96,VERRONNEAU CHRISTOPHE,37190;Valleres
97,PIBALEAU PASCAL,37190;Azay-le-Rideau
98,SOCIETE COOPERATIVE AGRICOLE CAVE DES PRODUCTEURS DE VINS DE MONTLOUIS,37270;Montlouis-sur-Loire
99,CAVE DES PRODUCTEURS DE VOUVRAY,37210;Vouvray
100,LA MAISON DU VIGNERON,39570;Hauteroche
101,EJV,39230;Saint-Lothain
102,SARL Yves JACQUIER,39570;Perrigny
103,ETS JACQUIER-MAJOR DE LISLE,39570;Quintigny
104,CHAMPAGNISATION LOUIS JACQUIER,39570;Quintigny
105,JURA CHAMPAGNISATION,39800;Poligny
106,ETABLISSEMENTS CLAUDE JACQUIER,39570;Quintigny
107,JACQUIER Alain René Gérard,39570;Conliège
108,JACQUIER MICHEL,39570;Conliège
109,JACQUIER PRESTATIONS,39570;Conliège
110,VARECHON DIDIER,39600;MONTIGNY LES ARSURES
111,GUILBAUD ERIK ROBERT,44116;VIEILLEVIGNE
112,BOUVET LADUBAY,49400;Saumur
113,GRATIEN MEYER,49400;Saumur
114,SOCIETE NOUVELLE DES CAVES DE LA BOUVRAIE,49123;Ingrandes-Le Fresne sur Loire
115,VEUVE AMIOT SAS,49400;Saint-Hilaire Saint-Florent
116,ACKERMAN,49400;Saumur
117,SOCIETE LANGLOIS CHATEAU VINS FINS DE LOIRE,49400;Saumur
118,CAVES DE GRENELLE,49400;Saumur
119,VINIBULLES,49380;Bellevigne-en-Layon
120,ELAB-SERVICE,49400;Villebernier
121,BERNARD Jocelyne,49700;DOUE-EN-ANJOU
122,CHAMPAGNE BILLECART-SALMON,51160;Ay-Champagne
123,CHAMPAGNE GOSSET,51160;Ay-Champagne
124,CHAMPAGNE BOIZEL,51200;Epernay
125,BRUNO PAILLARD,51100;Reims
126,TAITTINGER Compagnie Commerciale et Viticole Champenoise,51100;Reims
127,G.H. MUMM et Cie - Société Vinicole de Champagne, Successeur,51100;Reims
128,CHAMPAGNE DE CASTELLANE,51200;Epernay
129,HEIDSIECK & Co MONOPOLE,51100;Reims
130,VRANKEN-POMMERY PRODUCTION,51100;Reims
131,POL ROGER & CIE S.A.,51200;Epernay
132,CHAMPAGNE DE TELMONT,51480;Damery
133,CHAMPAGNE ALAIN THIENOT,51100;Reims
134,CHATEAU MALAKOFF,51190;Oger
135,COMPAGNIE CHAMPENOISE PH-CH.PIPER HEIDSIECK-ANCIENNE MAISON HEIDSIECK FONDEE EN 1785,51100;Reims
136,CHAMPAGNE DUVAL LEROY,51130;Vertus
137,CHAMPAGNE PHILIPPONNAT,51160;Ay-Champagne
138,CHAMPAGNE HENRI ABELE,51100;Reims
139,CHAMPAGNE DEUTZ S.A.,51160;Ay-Champagne
140,CHAMPAGNE G.H. MARTEL ET CIE,51200;Epernay
141,M H C S,51200;Epernay
142,CHAMPAGNE HENRIOT,51100;Reims
143,MAISON BURTIN,51200;Epernay
144,CHAMPAGNE CHANOINE FRERES DEPUIS 1730,51100;Reims
145,CHAMPAGNE LAURENT-PERRIER,51150;Tours-sur-Marne
146,CHAMPAGNE LANSON,51100;Reims
147,CHAMPENOIS ASSOCIES,51100;Reims
148,LE CHATEAU DE RILLY,51500;Rilly-la-Montagne
149,CHARLES MIGNON,51200;Epernay
150,Champagne DE VENOGE,51200;Epernay
151,CHAMPAGNE JACQUESSON ET FILS,51530;Dizy
152,BOUCHE PERE ET FILS,51530;Pierry
153,LES ROCHES BLANCHES,51530;Oiry
154,CHAMPAGNE LOUIS ROEDERER (CLR),51100;Reims
155,S.A.S. "LES CELLIERS DU CHAMP DE MARS",51100;Reims
156,GARDET & Cie,51500;Chigny-les-Roses
157,PLOYEZ-JACQUEMART,51500;Ludes
158,SOCIETE CHAMPENOISE DES BARONS ET ASSOCIES,51100;Reims
159,HDC,51100;Reims
160,Champagne Perrier-Jouet,51200;Epernay
161,CHAMPAGNE RENE-JAMES LALLIER,51160;Ay-Champagne
162,"CH. & A. PRIEUR",51130;Vertus
163,JOSEPH PERRIER FILS & CIE,51000;Châlons-en-Champagne
164,AYALA & CO,51160;Ay-Champagne
165,CHAMPAGNE XAVIER LORIOT,51700;Binson et Orquigny
166,CHAMPAGNE BOLLINGER,51160;Ay-Champagne
167,PRESSOIR DEPOIVRE,51120;Vindey
168,SNC PRESSOIR GATINE,51120;Saudoy
169,CHAMPAGNE F. BONNET P. & FILS,51100;Reims
170,BENOIT MARGUET,51150;Ambonnay
171,CHAMPAGNE COMTESSE DE CERHES,51160;Ay-Champagne
172,LE PRESSOIR SAINT JEAN,51500;Puisieulx
173,CANOT Emmanuel,51700;Chatillon sur marne
174,CHAMPAGNES ATAÏR,51170;Brouillet
175,CHAMPAGNE E. JAMART ET CIE,51530;Saint-Martin-d'ablois
176,SOCIETE D'EXPLOITATION DES VIGNOBLES LETUVEE.,51500;Taissy
177,SAS PIERREL & ASSOCIES,51200;Epernay
178,CHAMPAGNE MONMARTHE,51500;Ludes
179,CHAMPAGNE GUY CHARBAUT,51160;Ay-Champagne
180,SOCIETE DES GRANDS VINS DE CHAMPAGNE LABRUYERE,51360;Verzenay
181,CHAMPAGNE VOLLEREAUX,51530;Pierry
182,SOCIETE GENERALE DE CHAMPAGNE,51160;Ay-Champagne
183,CHAMPAGNE EDOUARD BRUN ET CIE,51160;Ay-Champagne
184,SOCIETE A.S.,51190;Le Mesnil-sur-Oger
185,CHAMPAGNE GAIDOZ-FORGET,51500;Ludes
186,SARL JEAN DIOT,51530;Vinay
187,PRESSOIR GARITAN,51500;Mailly-champagne
188,CHAMPAGNE A.R. LENOBLE,51480;Damery
189,CHAMPAGNE JEAN MOUTARDIER,51210;Le Breuil
190,A. DEMILLY,51150;Ay-Champagne
191,SARL DIEBOLT-VALLOIS,51530;Cramant
192,SARL Champagne Jean-Paul DEVILLE,51380;Verzy
193,CHAMPAGNE P. LOUIS MARTIN,51150;Bouzy
194,CHAMPAGNE CARBON,51160;Champillon
195,LOMBARD & MEDOT,51200;Epernay
196,SELECTION ET DIFFUSION CHAMPAGNE-SEDI CHAMPAGNE,51000;Châlons-en-Champagne
197,CLOS MARGOT,51130;Vertus
198,CHAMPAGNE JEAN NOEL HATON,51480;Damery
