1,LA MAISON DU VIGNERON,39570&nbsp;Hauteroche
2,EJV,39230&nbsp;Saint-Lothain
3,SARL Yves JACQUIER,39570&nbsp;Perrigny
4,ETS JACQUIER-MAJOR DE LISLE,39570&nbsp;Quintigny
5,CHAMPAGNISATION LOUIS JACQUIER,39570&nbsp;Quintigny
6,JURA CHAMPAGNISATION,39800&nbsp;Poligny
7,ETABLISSEMENTS CLAUDE JACQUIER,39570&nbsp;Quintigny
8,JACQUIER Alain René Gérard,39570&nbsp;Conliège
9,JACQUIER MICHEL,39570&nbsp;Conliège
10,JACQUIER PRESTATIONS,39570&nbsp;Conliège
11,VARECHON DIDIER,39600&nbsp;MONTIGNY LES ARSURES
