1,SARL ALAIN VOGE,07130&nbsp;Cornas
2,A. GALLETY,07220&nbsp;Saint-Montan
3,EURL Luc ROBERT,07130&nbsp;Saint-Péray
4,MAISON JEAN-BAPTISTE SOUILLARD,07340&nbsp;Andance
5,VIGNERONS SUD ARDECHE,07120&nbsp;Ruoms
6,CAVE DE SAINT DESIRAT,07340&nbsp;Saint-Désirat
7,BOULLENGER Pierre Jean,07150&nbsp;Vallon-Pont-d'Arc
8,SOCIETE COOPERATIVE VINICOLE CAVE COOPERATIVE DE VIVIERS,07220&nbsp;Viviers
9,LES VIGNERONS DES GORGES DE L'ARDECHE,07700&nbsp;Bourg-Saint-Andéol
10,CAVE COOPERATIVE INTERCOMMUNALE D'ALBA,07400&nbsp;Alba-la-Romaine
11,SOCIETE COOPERATIVE VINICOLE ET AGRICOLE INTERCOMMUNALE DE VOGUE ET DES COMMUNES LIMITROPHES,07200&nbsp;Vogüé
12,LES VIGNERONS DES COTEAUX D'AUBENAS,07200&nbsp;Saint-Étienne-de-Fontbellon
13,LA CEVENOLE,07260&nbsp;Rosières
14,CAVE COOPERATIVE DES VIGNERONS DE BRUJAS-BESSAS,07150&nbsp;Vagnas
15,SOCIETE COOPERATIVE AGRICOLE CAVE COOPERATIVE DES COTEAUX DU CHASSEZAC VIGNERONS DU PAYS DES VANS,07140&nbsp;Les Vans
16,LES VIGNERONS DES CRUZIERES,07460&nbsp;Saint-Sauveur-de-Cruzières
17,LES VIGNERONS REUNIS DES COTEAUX DE JALES,07460&nbsp;Berrias-et-Casteljau
18,LES VIGNERONS DE MONTFLEURY,07170&nbsp;Mirabel
19,SOCIETE COOPERATIVE VINICOLE ET AGRICOLE INTERCOMMUNALE DE LABLACHERE,07230&nbsp;Lablachère
20,SOCIETE COOPERATIVE AGRICOLE ET VINICOLE INTERCOMMUNALE DE VALVIGNERES,07400&nbsp;Valvignères
21,ROBERT Luc Francis Nicolas,07130&nbsp;Saint-Péray
22,RENGADE Juliette,07260&nbsp;Joyeuse
23,DUBOIS Isaura Claudia,07260&nbsp;Joyeuse
24,MONTEIL Marius Auguste,07380&nbsp;Lalevade-d'Ardèche
25,MORENO Emilie,07260&nbsp;Joyeuse
26,BASTIDE Marguerite Francoise Zenobie,07260&nbsp;Joyeuse
27,FLANDIN Maurice Augustin,07700&nbsp;Bourg-Saint-Andéol
28,CHARBONNIER Leon Hippolyte Edouard,07380&nbsp;Lalevade-d'Ardèche
29,OLLIER Georges Henri Lucien,07700&nbsp;Bourg-Saint-Andéol
30,NAUD Yves Victor,07200&nbsp;Aubenas
31,COLZART Patrice Bernard,07400&nbsp;Le Teil
32,DI-MANNO Lucio,07200&nbsp;Aubenas
33,LADOIRE Serge Camille Georges,07400&nbsp;Le Teil
34,SANCHEZ Isidro,07200&nbsp;Aubenas
35,MIRALLES - GALO Emilio,07210&nbsp;Chomérac
36,ELEDDY,07000&nbsp;Saint-Priest
37,BROET Gerard,07400&nbsp;Le Teil
38,SCARSO Joseph,07400&nbsp;Le Teil
39,BUSSON Claude Yves Jean Eugene,07000&nbsp;Privas
40,BAYLE Henri Maurice Leon,07140&nbsp;Les Vans
41,THIEBAUX Jacques Paul Leon,07120&nbsp;Ruoms
42,CHAMBON Andre Eloi,07000&nbsp;Privas
43,REBOUL Robert Michel Albert,07260&nbsp;Joyeuse
44,CAISSE D'EPARGNE ET DE PREVOYANCE DE LARGENTIERE,07110&nbsp;Largentière
45,TERRASSE Georges Charles Gilbert,07700&nbsp;Bourg-Saint-Andéol
46,CELLIER DES GORGES DE L'ARDECHE,07700&nbsp;Saint-Marcel-d'Ardèche
