1,SNC JACQUES ROBIN,10110&nbsp;Buxières-sur-Arce
2,CHAMPAGNE P.M.B.,10340&nbsp;Bagneux-la-Fosse
3,MAISON TAISNE RIOCOUR,10340&nbsp;Les Riceys
4,PRESSOIR BARALBIN,10200&nbsp;Bar-sur-Aube
5,PAYTA JEAN-CLAUDE ET FILLE,10250&nbsp;Plaines Saint-Lange
6,TORCHET,10370&nbsp;Villenauxe-la-Grande
7,PRESSOIRS ALEXANDRE BONNET,10340&nbsp;Les Riceys
8,PRESSOIR GILLES VIREY,10340&nbsp;Bagneux-la-Fosse
9,GATE,10110&nbsp;Bar-sur-Seine
10,SARL SERGE POINSOT ET FILLES,10110&nbsp;Bar-sur-Seine
11,R. BILLETTE,10200&nbsp;Urville
12,LES PRESSOIRS DE L'OREE,10110&nbsp;Balnot-sur-Laignes
13,L'ESSOR CHAMPENOIS,10110&nbsp;Merrey-sur-Arce
14,PRESSOIR MOYAT-JAURY,10110&nbsp;POLISY
15,SARL PRESSOIRS GUILLEMINOT,10340&nbsp;Channes
16,HENRIOT GILBERT MAURICE,10110&nbsp;POLISOT
17,PRESSOIR BAUDRY,10250&nbsp;NEUVILLE SUR SEINE
18,CHATET,10360&nbsp;Noé-les-Mallets
19,NICOLO VINS FINS,10200&nbsp;Arsonval
20,SOCIETE COOPERATIVE AGRICOLE VINICOLE D'URVILLE,10200&nbsp;Urville
21,PICHON M & W,10250&nbsp;Gye-sur-Seine
22,VOIE DE VAUX,10110&nbsp;LANDREVILLE
23,SARL PRESSOIR BARBE,10110&nbsp;Vitry-le-Croisé
24,JOBLIN Pascal Jean Raymond,10340&nbsp;BRAGELOGNE BEAUVOIR
25,SARL BELORGEOT-BONNET,10360&nbsp;NOE LES MALLETS
26,COOPERATIVE VITICOLE LES RICEYS- BALNOT SUR LAIGNES,10340&nbsp;Les Riceys
27,ROBERT-CLIGNY ET FILS,10110&nbsp;Merrey-sur-Arce
28,SIMON Alain Jacques François,10250&nbsp;Neuville-sur-Seine
29,SAMPERS Claude-François,10200&nbsp;Voigny
30,BONELLO Marie-Françoise,10300&nbsp;Montgueux
31,PRESSOIR BULIDON PERE ET FILLES,10340&nbsp;Channes
32,CHAMPAGNE EDOUARD DUVAL,10200&nbsp;Bligny
33,FINDICZEW Tamara Ludmila Maria,10200&nbsp;BAR SUR AUBE
34,SARL PRESSOIR DUMONT,10200&nbsp;CHAMPIGNOL LEZ MONDEVILLE
35,DOMAINE D'AVELLA-GARNIER,10340&nbsp;Les Riceys
36,GOUTHIERE Gerard Louis Emile,10200&nbsp;BAR SUR AUBE
37,SOCIETE COOPERATIVE VINICOLE D'ARRENTIERES ET ENGENTE,10200&nbsp;Arrentières
38,SNC VITICOLE GERARD,10110&nbsp;Balnot-sur-Laignes
39,SARL PRESSOIR DECHANNES,10340&nbsp;Les Riceys
40,MARIN - LASNIER,10110&nbsp;Polisot
41,HERARD,10250&nbsp;Neuville-sur-Seine
42,PRESSOIR LAMOUREUX GUY ET FILS,10340&nbsp;LES RICEYS
43,SARL MARCEAU,10340&nbsp;Bagneux-la-Fosse
44,E.T.V. POINSOT-ADE JP,10110&nbsp;Loches-sur-Ource
45,PRESSURAGE LAMOUREUX CHERIOT,10340&nbsp;RICEYS (LES)
46,INDIVISION BEAUGRAND HENRI ET JACQUES,10300&nbsp;MONTGUEUX
