1,ROBELIN PERE ET FILS,30420&nbsp;Calvisson
2,NOTRE DAME DES CLAIRETTES,30127&nbsp;Bellegarde
3,DOMAINE CHARLES GUITARD,30670&nbsp;Aigues-Vives
4,GEMSTAB,30320&nbsp;Marguerittes
5,UNION DES VIGNERONS GRAND LAUDUN,30290&nbsp;Laudun-l'Ardoise
6,SOCIETE COOPERATIVE AGRICOLE LES COTEAUX DE FONTANES,30250&nbsp;Fontanès
7,SOCIETE COOPERATIVE AGRICOLE DES VIGNERONS DE SAINT LAURENT DE CARNOLS VIGNERONS,30200&nbsp;Saint-Laurent-de-Carnols
8,SCA LAUDUN & CHUSCLAN VIGNERONS,30200&nbsp;Chusclan
9,SOCIETE COOPERATIVE AGRICOLE LES VIGNERONS DE REMOULINS,30210&nbsp;Remoulins
10,SOCIETE COOPERATIVE AGRICOLE DE VINIFICATION DE CARMES DONAT,30200&nbsp;Sabran
11,LES TERRASSES DU VIDOURLE,30250&nbsp;Villevieille
12,CELLIER DES CHARTREUX,30131&nbsp;Pujaut
13,VINISTAB SERVICES,30700&nbsp;Arpaillargues-et-Aureillac
14,LINEA,30510&nbsp;Générac
15,CELLIER DES VESTIGES ROMAINS COOPERATIVE AGRICOLE BOUILLARGUES GARONS NIMES,30230&nbsp;Bouillargues
16,COLOMBET JUSTAMOND ET COMPAGNIE,30200&nbsp;Saint-Laurent-de-Carnols
17,SAINT PAULET VIGNOBLES,30130&nbsp;Saint-Paulet-de-Caisson
18,VIGNERONS PROPRIETES ASSOCIES,30510&nbsp;Générac
19,DA SILVA,30200&nbsp;Saint-Étienne-des-Sorts
20,LES COLLINES DU BOURDIC SOCIETE COOPERATIVE AGRICOLE,30190&nbsp;Bourdic
21,SOCIETE COOPERATIVE AGRICOLE "LA GRAVETTE DE CORCONNE",30260&nbsp;Corconne
22,LES VIGNERONS DES CAPITELLES,30700&nbsp;Foissac
23,SCA LES VIGNERONS DES QUATRE CHEMINS,30290&nbsp;Laudun-l'Ardoise
24,SCA LES CLAUX DES TOURETTES,30360&nbsp;Ners
25,SCA LES CELLIERS DES TROIS TOURS,30190&nbsp;Saint-Chaptes
26,SOCIETE COOPERATIVE AGRICOLE VIGNOBLE DE LA PORTE DES CEVENNES,30140&nbsp;Anduze
27,SOCIETE COOPERATIVE AGRICOLE LES VIGNERONS DU SOMMIEROIS,30250&nbsp;Sommières
28,CAVE COOPERATIVE DES VIGNERONS DE TORNAC,30140&nbsp;Tornac
29,SOCIETE COOPERATIVE AGRICOLE SABLEDOC,30220&nbsp;Aigues-Mortes
30,SOCIETE COOPERATIVE AGRICOLE DE POUGNADORESSE,30330&nbsp;Pougnadoresse
31,SOCIETE COOPERATIVE LES VIGNERONS DE SAINT DEZERY,30190&nbsp;Saint-Dézéry
32,SCA DES VIGNERONS ORSAN - VAL DE CEZE,30200&nbsp;Orsan
33,SOCIETE COOPERATIVE DE VINIFICATION DE GAUJAC,30330&nbsp;Gaujac
34,SOCIETE COOPERATIVE AGRICOLE DE VINIFICATION DE FONS OUTRE GARDON,30730&nbsp;Fons
35,CAVE COOPERATIVE DES VIGNERONS D'ISSIRAC,30760&nbsp;Issirac
36,SOCIETE COOPERATIVE AGRICOLE LES VIGNERONS DE SAINT ETIENNE DES SORTS - VINS DES COTES DU RHONE - APPELATION CHUSCLAN -,30200&nbsp;Saint-Étienne-des-Sorts
37,SOCIETE COOPERATIVE AGRICOLE LES VIGNERONS DE SAINT PONS LA CAL,30330&nbsp;Saint-Pons-la-Calm
38,SOCIETE COOPERATIVE AGRICOLE INTERCOMMUNALE DE SAINT-SIFFRET,30700&nbsp;Saint-Siffret
39,SOCIETE COOPERATIVE AGRICOLE VIGNOBLE DE LA VOIE D'HERACLES,30310&nbsp;Vergèze
40,LES VIGNERONS DU CASTELAS SOCIETE COOPERATIVE AGRICOLE,30650&nbsp;Rochefort-du-Gard
41,SOCIETE COOPERATIVE AGRICOLE CAVE DES VIGNERONS DE CAVILLARGUES,30330&nbsp;Cavillargues
42,SOCIETE COOPERATIVE AGRICOLE CELLIER VENEJAN LA PORTE D'OR,30200&nbsp;Vénéjan
43,SOCIETE COOPERATIVE AGRICOLE CAVE PILOTE DE GALLICIAN,30600&nbsp;Vauvert
44,SOCIETE COOPERATIVE AGRICOLE CAVE COOPERATIVE DE VALLABREGUES BOULBON ST PIERRE DE MEZOARGUES,30300&nbsp;Vallabrègues
45,SOCIETE COOPERATIVE AGRICOLE CAVE DES VIGNERONS,30200&nbsp;Saint-Gervais
46,COOPERATIVE AGRICOLE DES VIGNERONS DE MONTAREN SERVIERS,30700&nbsp;Montaren-et-Saint-Médiers
47,SOCIETE COOPERATIVE AGRICOLE DES GRANDS VINS DE PAZAC,30840&nbsp;Meynes
48,SOCIETE COOPERATIVE AGRICOLE DE VIC LE FESQ,30260&nbsp;Vic-le-Fesq
49,SOCIETE COOPERATIVE AGRICOLE LES VIGNERONS DE MARGUERITTES ET RODILHAN,30320&nbsp;Marguerittes
50,SOCIETE COOPERATIVE LA VIGNERONNE QUISSACOISE,30260&nbsp;Quissac
51,SCA MONTAGNAC DOMESSARGUES,30350&nbsp;Montagnac
52,LES TERRASSES CEVENOLES,30170&nbsp;Saint-Hippolyte-du-Fort
53,S.C.A LES VIGNERONS DE ST QUENTIN- LA BRUGUIERE,30700&nbsp;Saint-Quentin-la-Poterie
54,SCA LES VIGNERONS D'ESTEZARGUES,30390&nbsp;Estézargues
55,CAVE DES VINS DE CRU DE LIRAC,30126&nbsp;Saint-Laurent-des-Arbres
56,SCA LES VIGNERONS,30330&nbsp;Saint-Marcel-de-Careiret
57,SOCIETE COOPERATIVE AGRICOLE "LE CELLIER DU BONDAVIN",30129&nbsp;Redessan
58,SOCIETE COOPERATIVE AGRICOLE CAVE INTERCOMMUNALE DES VIGNERONS DE MONTFRIN MEYNES COMPS ET THEZIERS,30490&nbsp;Montfrin
59,SCA LES VIGNERONS DE SAINT MAURICE DE CAZEVIEILLE,30360&nbsp;Saint-Maurice-de-Cazevieille
60,SCA DES VIGNERONS DE SAINT JEAN DE SERRES,30350&nbsp;Saint-Jean-de-Serres
61,SCA CAVE COOPERATIVE DES VIGNERONS DE CARDET,30350&nbsp;Cardet
62,SCA LES VIGNERONS DU MONT BOUQUET,30580&nbsp;Brouzet-lès-Alès
63,SCA CAVE COOPERATIVE DES VIGNERONS DE LEDIGNAN,30350&nbsp;Lédignan
64,SOCIETE COOPERATIVE AGRICOLE CAVE DES VIGNERONS D'ARAMON THEZIERS,30390&nbsp;Aramon
65,SOCIETE COOPERATIVE AGRICOLE CAVE COOPERATIVE DU VINS DE LEDENON,30210&nbsp;Lédenon
66,SOCIETE COOPERATIVE AGRICOLE "LES COTEAUX CEVENOLS",30170&nbsp;Durfort-et-Saint-Martin-de-Sossenac
67,"CHÂTEAU DE ROZIER",30129&nbsp;Manduel
68,VALLES Valentin Florent,30700&nbsp;Saint-Quentin-la-Poterie
69,"ROC DU CHAY",30430&nbsp;Saint-Jean-de-Maruéjols-et-Avéjan
70,LE QUAI A RAISINS,30250&nbsp;Sommières
