1,CHATEAU PEYROS,32110&nbsp;Sorbets
2,SARL AURIAN PHILIPPE,32100&nbsp;Condom
3,SA MONLUC,32310&nbsp;Saint-Puy
4,SARL DUFFAU,32800&nbsp;Eauze
5,DE PERREOU,32800&nbsp;Bretagne-d'Armagnac
6,PLAIMONT PRODUCTEURS dit PRODUCTEURS VIGNOBLE DE GASCOGNE dit VIGNERONS RECOLTANTS DU VIC-BILH dit PLAIMONT TERROIRS & CHATEAUX dit VASCONY.,32400&nbsp;Saint-Mont
7,RECHOU Laurence, Joséphine, Louise,32290&nbsp;Bouzon-Gellenave
8,LE COMPTOIR ARMAGNACAIS,32800&nbsp;Eauze
9,ODEM,32190&nbsp;Lannepax
10,CAVE DES PRODUCTEURS REUNIS,32110&nbsp;Nogaro
11,SOCIETE COOPERATIVE AGRICOLE VIGNERONS DU SAINT MONT DITE CAVE DU PAYS DE D'ARTAGNAN,32400&nbsp;Saint-Mont
12,LES VIGNERONS DU GERLAND,32110&nbsp;Panjas
13,DAMINATO ROGER,32460&nbsp;LE HOUGA
