1,MAS LA CHEVALIERE,34500&nbsp;Béziers
2,ACTION EMBOUTEILLAGE,34560&nbsp;Villeveyrac
3,LES VIGNOBLES DE LA GRANGE,34320&nbsp;Gabian
4,DE PEYRAT,34120&nbsp;Tourbes
5,DOMAINE DE POILHES LA ROMAINE,34310&nbsp;Poilhes
6,TROISIEME POLE,34510&nbsp;Florensac
7,LES CELLIERS DE CREISSAN,34370&nbsp;Creissan
8,PFT VINS,34390&nbsp;Prémian
9,CAVE COOPERATIVE "LES VIGNERONS DE MUDAISON",34130&nbsp;Mudaison
10,SOCIETE COOPERATIVE AGRICOLE LES VIGNERONS D'ASPIRAN- PERET,34800&nbsp;Clermont-l'Hérault
11,CAVE COOPERATIVE DES VIGNERONS DE ST BAUZILLE DE PUTOIS,34190&nbsp;ST BAUZILLE DE PUTOIS
12,SOCIETE COOPERATIVE AGRICOLE DES VIGNERONS DE LANSARGUES,34130&nbsp;Lansargues
13,SOCIETE COOPERATIVE AGRICOLE TERROIRS DE LA VOIE DOMITIENNE,34660&nbsp;Cournonsec
14,GFA DOMAINE DE BELLE COTE,34400&nbsp;LUNEL
15,LA SYLVE CONTENUE SOCIETE CIVILE,34190&nbsp;GANGES
16,VALETTE Jean-Marie,34480&nbsp;Magalas
17,HORIZON 45,34460&nbsp;Cessenon-sur-Orb
18,LE SENTIER OBRIERE,34490&nbsp;Corneilhan
19,MAS TER VINO,34120&nbsp;Pézenas
20,SOCIETE CAVE COOPERATIVE AGRICOLE DE VINIFICATION LA FONTESOLE,34320&nbsp;Fontés
21,LES CAVES HENRI DE RICHEMER SOCIETE COOPERATIVE AGRICOLE AGDE-MARSEILLAN,34340&nbsp;Marseillan
22,SOCIETE COOPERATIVE AGRICOLE LES VIGNERONS DE LIEURAN,34290&nbsp;Servian
23,SOCIETE COOPERATIVE AGRICOLE LES VIGNERONS DE L'OCCITANE,34290&nbsp;Servian
24,SOCIETE COOPERATIVE AGRICOLE LES COTEAUX DE BERLOU,34360&nbsp;Berlou
25,AMIEL FRERES,34290&nbsp;Montblanc
26,DOMAINE DE CLOVALLON,34600&nbsp;Bédarieux
27,LACUGUE AGRICULTURE ET TERROIR,34620&nbsp;PUISSERGUIER
28,LES COTEAUX DE MONTPELLIER,34160&nbsp;Saint-Geniès-des-Mourgues
