1,PIERRE CHAINIER SAS,37530&nbsp;Charge
2,LES CHAIS DES ARMUSERIES,37210&nbsp;Rochecorbon
3,SARL CLAUDE ET PASCAL RICOTIER,37220&nbsp;Crissay-sur-Manse
4,SOCIETE COOPERATIVE AGRICOLE CELLIER DU BEAUJARDIN - SCA CELLIER DU BEAUJARDIN - SCA C.D.B.,37150&nbsp;Bléré
5,LA PETITE METAIRIE,37220&nbsp;Panzoult
6,AURORE DE BEAUFORT,37270&nbsp;Saint-Martin-Le-Beau
7,MORICET SYLVIE,37210&nbsp;Chancay
8,SAS PLOU FREDERIC ET LOUISA,37530&nbsp;Nazelles Negron
9,CELLIER LEONARD DE VINCI,37530&nbsp;Limeray
10,LES MAITRES VIGNERONS DE LA GOURMANDIERE,37150&nbsp;Francueil
11,DU DOMAINE DE LA PREVOTE,37530&nbsp;Limeray
12,ERIC BUREAU,37140&nbsp;Saint-Nicolas-de-Bourgueil
