1,THEODORE LEGRAS,51530&nbsp;Chouilly
2,DE NAUROY,51100&nbsp;Reims
3,PRESSOIR COLLET,51120&nbsp;Fontaine Denis Nuisy
4,LA MAISON DES GRANDS VINS DE FRANCE,51200&nbsp;Epernay
5,SARL BERTRAND ET JEAN-CLAUDE DUCHENE,51480&nbsp;Cumières
6,VINI CHAMPAGNE,51420&nbsp;Cernay-les-Reims
7,Olivier BONVILLE,51190&nbsp;Avize
8,CHAMPAGNE LECOMTE PERE ET FILS,51530&nbsp;Vinay
9,SARL PRESSOIRS HAUTEM PIERLOT,51380&nbsp;Villers-Marmery
10,SARL CAROLE NOIZET,51220&nbsp;Saint-Thierry
11,COCU Jean Claude Fernand Henri,51200&nbsp;EPERNAY
12,JOBART Abel Paul,51170&nbsp;SARCY
13,JOUDART Jean-Marie Michel,51270&nbsp;FEREBRIANGES
14,PRESSOIR DINE,51260&nbsp;Saron-sur-Aube
15,COOPERATIVE AGRICOLE ET VINICOLE L'ECONOMIQUE,51190&nbsp;Le Mesnil-sur-Oger
16,M.A VITICULTURE,51160&nbsp;Avenay Val-d'Or
17,MAHE FRANCOIS,51150&nbsp;Val de Livre
18,SOCIETE COOPERATIVE VINICOLE DE BOUZY "AU BOUQUET",51150&nbsp;Bouzy
19,SOCIETE COOPERATIVE VINICOLE "LES VIGNERONS D'HAUTVILLERS",51160&nbsp;Hautvillers
20,SOCIETE COOPERATIVE VINICOLE DE VANDEUIL SOCIETE COOPERATIVE AGRICOLE,51140&nbsp;Vandeuil
21,COOPERATIVE VINICOLE "UNION DES PROPRIETAIRES RECOLTANTS",51190&nbsp;Le Mesnil-sur-Oger
22,COOPERATIVE VINICOLE DE VILLERS SOUS CHATILLON,51700&nbsp;Villers sous Chatillon
23,COOPERATIVE VINICOLE DE CHAUMUZY,51170&nbsp;Chaumuzy
24,PBL PRESTATIONS BOUVIER LAMALLE,51500&nbsp;Villers-Allerand
25,SOCIETE A RESPONSABILITE LIMITEE PRESSOIR DU MONT ROUGE,51150&nbsp;Bouzy
26,SARL BARON DAUVERGNE,51150&nbsp;Bouzy
27,C D CHAMPAGNISATION,51140&nbsp;Vandeuil
28,SOCIETE COOPERATIVE D'INTERETS VINICOLES DE BOUZY,51150&nbsp;Bouzy
29,COOPERATIVE VINICOLE DE CHAMERY,51500&nbsp;Chamery
30,SOCIETE COOPERATIVE VINICOLE DE BELVAL SOUS CHATILLON,51480&nbsp;Belval sous Chatillon
31,SOCIETE COOPERATIVE VINICOLE DE CHIGNY LES ROSES SOCIETE COOPERATIVE AGRICOLE,51500&nbsp;Ludes
32,SOCIETE COOPERATIVE DE VINIFICATION "LA VIGNERONNE" DE SERZY ET PRIN ET ENVIRONS SOCIETE COOPERATIVE AGRICOLE,51170&nbsp;Serzy et prin
33,SOCIETE COOPERATIVE VINICOLE DE TRIGNY ET PROUILLY SOCIETE COOPERATIVE AGRICOLE,51140&nbsp;Trigny
34,SOCIETE COOPERATIVE VINICOLE DE PASSY GRIGNY SOCIETE COOPERATIVE AGRICOLE,51700&nbsp;Passy-Grigny
35,SOCIETE COOPERATIVE AGRICOLE ET VINICOLE D'HAUTVILLERS,51160&nbsp;Hautvillers
36,SOCIETE COOPERATIVE AGRICOLE LA CHAMPENOISE SOCIETE COOPERATIVE AGRICOLE,51140&nbsp;Prouilly
37,SOCIETE COOPERATIVE VINICOLE DE CHAMPILLON,51160&nbsp;Champillon
38,COOPERATIVE VINICOLE L'ENTRAIDE,51480&nbsp;La Neuville-aux-Larris
39,COOPERATIVE VINICOLE D'OLIZY VIOLAINE,51700&nbsp;Olizy
40,SOCIETE COOPERATIVE VINICOLE DE LUDES,51500&nbsp;Ludes
41,SOCIETE COOPERATIVE VINICOLE DE VERZY,51380&nbsp;Verzy
42,COOPERATIVE VINICOLE DE SAINT MARTIN D'ABLOIS,51530&nbsp;Saint-Martin-d'Ablois
43,COOPERATIVE VINICOLE LES TROIS COTEAUX,51270&nbsp;Talus Saint-Prix
44,SOCIETE COOPERATIVE DE PRESSURAGE ET DE VINIFICA- TION D'ETOGES ET BEAUNAY,51270&nbsp;Etoges
45,SOCIETE COOPERATIVE VINICOLE LA SOLIDARITE,51480&nbsp;Oeuilly
46,COOPERATIVE VINICOLE DE BOURSAULT,51480&nbsp;Boursault
47,ENTENTE DES PROPRIETAIRES RECOLTANTS,51530&nbsp;Monthelon
48,SOCIETE DES PRESSOIRS PICARD,51100&nbsp;Reims
49,SOCIETE A RESPONSABILITE LIMITEE DE BERLAND par abréviation : S.A.R.L. DE BERLAND,51360&nbsp;Val-de-Vesle
50,SARL CHAMPAGNE HUIBAN,51700&nbsp;Jonquery
51,PICHARD Michelle Antoinette Marie,51190&nbsp;LE MESNIL SUR OGER
52,SOCIETE COOPERATIVE DE VINIFICATION "LA GRAPPE" DE CHATILLON-SUR-MARNE SOCIETE COOPERATIVE AGRICOLE,51700&nbsp;Chatillon sur marne
53,SOCIETE COOPERATIVE AGRICOLE VINICOLE SAINT VINCENT DE VERNEUIL,51700&nbsp;Verneuil
54,SOCIETE COOPERATIVE AGRICOLE VINICOLE DE COULOMMES VRIGNY SOCIETE COOPERATIVE AGRICOLE,51390&nbsp;Coulommes-la-Montagne
55,SOCIETE COOPERATIVE VINICOLE DES PRODUCTEURS DE VILLEDOMMANGE SOCIETE COOPERATIVE AGRICOLE,51390&nbsp;Ville Dommange
56,SOCIETE COOPERATIVE VINICOLE DE VERZENAY SOCIETE COOPERATIVE AGRICOLE,51360&nbsp;Verzenay
57,SOCIETE COOPERATIVE AGRICOLE dite L'UNION DES VITICULTEURS DE FESTIGNY - SOCIETE COOPERATIVE AGRICOLE,51700&nbsp;Festigny
58,SOCIETE COOPERATIVE VINICOLE LES CLOS MAILLY CHAMPAGNE - SOCIETE COOPERATIVE AGRICOLE ou CVLC,51500&nbsp;Mailly-champagne
