1,GROUPE TPF SARL,69210&nbsp;Fleurieux-sur-l'Arbresle
2,LE CELLIER DE LA VAUXONNE,69460&nbsp;Saint-Étienne-des-Oullières
3,MAISON ORCIA,69006&nbsp;Lyon
4,ROUGE COTEAUX,69380&nbsp;Charnay
5,CHATEAU DU GRAND VERNAY,69220&nbsp;Charentay
6,SARL COMTE HENRI D HARCOURT,69640&nbsp;Montmelas-Saint-Sorlin
7,ASSOC VITICULTEURS AOC COTEAUX,69430&nbsp;BEAUJEU
8,MOLINET Henri,69840&nbsp;Juliénas
9,PERLANTS DU VERGER,69430&nbsp;Quincié-en-Beaujolais
10,AGAMY,69210&nbsp;Bully
11,CAVE DES PRODUCTEURS DES GRANDS VINS DE FLEURIE,69820&nbsp;Fleurie
12,SOCIETE COOPERATIVE INTERCOMMUNALE VINICOLE DE GLEIZE,69400&nbsp;Gleizé
13,DISTILLERIE COOPERATIVE DE POMMIERS,69480&nbsp;Pommiers
14,CLUSEL-ROCH,69420&nbsp;Ampuis
15,CAVE DES VIGNERONS DE BEL AIR, SOCIETE COOPERATIVE AGRICOLE,69220&nbsp;Saint-Jean-d'Ardières
16,VIGNERONS DES PIERRES DOREES,69620&nbsp;Val-d'Oingt
17,CAVE DU CHATEAU DES LOGES,69460&nbsp;Le Perréon
18,CAVE COOPERATIVE BEAUJOLAISE DE SAINT JULIEN,69640&nbsp;Saint-Julien
19,CELLIER DES SAINT ETIENNE,69460&nbsp;Saint-Étienne-des-Oullières
20,OEDORIA,69620&nbsp;Theizé
21,SOCIETE COOPERATIVE AGRICOLE CAVE DU CHATEAU DE CHENAS,69840&nbsp;Chénas
22,Cave des Grands Vins de Juliénas Chaintré,69840&nbsp;Juliénas
