1,FRANCE BOISSONS NORD EST,67118&nbsp;GEISPOLSHEIM
2,JPMH DISTRIBUTION,67300&nbsp;SCHILTIGHEIM
3,FRITSCH PATRICE RAYMOND,67114&nbsp;ESCHAU
4,SABABA YAYIN,67000&nbsp;STRASBOURG
5,GERBER SIMONE,67370&nbsp;TRUCHTERSHEIM
6,FREY DOMINIQUE JOSEPH MARCEL,67650&nbsp;DAMBACH LA VILLE
7,JUNG THIERRY,67140&nbsp;GERTWILLER
8,LES VINS ET LES PLAISIRS,67600&nbsp;SELESTAT
9,FAHRER JEAN YVES,67600&nbsp;ORSCHWILLER
10,HEILBRONN,67530&nbsp;ST NABOR
11,RHEINTAL DISTRIBUTION,67290&nbsp;WIMMENAU
12,NEUMEYER GERARD XAVIER,67120&nbsp;MOLSHEIM
13,LOUX DANIEL JEAN MARIE,67570&nbsp;LA BROQUE
14,NEW DISTRIBUTION FRANCE,67240&nbsp;KURTZENHOUSE
15,71 VINTAGE SARL,67760&nbsp;GAMBSHEIM
16,NASSIME TULLIUS-POUR SARL,67000&nbsp;STRASBOURG
17,BOISSONS VINS CREATION DISTRIBUTION,67500&nbsp;HAGUENAU
18,VINS DIFFUSION EXPORT,67520&nbsp;NORDHEIM
19,BOISSONS BE,67100&nbsp;STRASBOURG
20,CHAMPAGNE DIFFUSION,67260&nbsp;SARRE UNION
21,LABER,67150&nbsp;ERSTEIN
22,SARL MARION,67204&nbsp;ACHENHEIM
23,FINE & RARE,67540&nbsp;OSTWALD
24,GRANDJEAN KVS,67000&nbsp;STRASBOURG
25,SARL L'ESPRIT ALSACE.COM,67560&nbsp;ROSHEIM
26,TEREK CONSEILS EN VINS,67000&nbsp;STRASBOURG
27,DOMAINE ROBERT HAAG ET FILS,67750&nbsp;SCHERWILLER
28,REFERENCEVIN,67550&nbsp;VENDENHEIM
29,VINARIUM,67620&nbsp;SOUFFLENHEIM
30,VDP VINS DOMAINES PRESTIGE,67300&nbsp;SCHILTIGHEIM
31,SARL ARVIVIN KOCH PIERRE ET FRANCOIS,67680&nbsp;NOTHALTEN
32,AUSTRALIAN RARITIES,67100&nbsp;STRASBOURG
33,TERROIRS & PASSION,67170&nbsp;BRUMATH
34,SO BUBBLES,67116&nbsp;REICHSTETT
35,FULLBOURG,67120&nbsp;DUTTLENHEIM
36,HANNS DENIS GEORGES JOSEPH,67350&nbsp;PFAFFENHOFFEN
37,GALA BOISSONS,67200&nbsp;STRASBOURG
38,COUCOU WINES,67660&nbsp;BETSCHDORF
39,PHILIPPE PERDIGUES & CIE,67100&nbsp;STRASBOURG
40,HEDON,67000&nbsp;STRASBOURG
41,JUSYRE,67590&nbsp;SCHWEIGHOUSE SUR MODER
42,SODACASH,67100&nbsp;STRASBOURG
43,BDS,67000&nbsp;STRASBOURG
44,VINS D'ICI - VINS D'AILLEURS,67420&nbsp;COLROY LA ROCHE
45,ELSOLI,67610&nbsp;LA WANTZENAU
46,COCKTAILS CONCEPT,67870&nbsp;BISCHOFFSHEIM
47,SOHLER NICOLAS,67750&nbsp;SCHERWILLER
48,BARON,67500&nbsp;HAGUENAU
49,A.D.V.F.,67400&nbsp;ILLKIRCH GRAFFENSTADEN
50,LEON MANBACH,67650&nbsp;DAMBACH LA VILLE
51,JANTZI PIERRE MARCEL,67560&nbsp;ROSHEIM
52,ETABLISSEMENTS HOSTEIN,67430&nbsp;DIEMERINGEN
53,VINOTHEQUE DU LYS SARL,67520&nbsp;MARLENHEIM
54,SOCIETE D'EXPLOITATION DES ETABLISSEMENTS LUCIEN ICHTERTZ ET FILS,67560&nbsp;ROSHEIM
55,FORMULE VIN CAVES B FAVIER,67530&nbsp;OTTROTT
56,ROTHGERBER,67310&nbsp;TRAENHEIM
57,L'EVENTAIL,67440&nbsp;SCHWENHEIM
58,L'AMPHORE,67110&nbsp;REICHSHOFFEN
59,MCA,67500&nbsp;HAGUENAU
60,MALT ET HOUBLON DISTRIBUTION,67400&nbsp;ILLKIRCH GRAFFENSTADEN
61,NECA,67000&nbsp;STRASBOURG
62,HALLE AUX VINS PIERRE ERNENWEIN,67350&nbsp;UBERACH
63,L'ENTREPOT A BIERES,67400&nbsp;ILLKIRCH GRAFFENSTADEN
64,ENSEL Jean Marc,67170&nbsp;BRUMATH
65,SCHUTZENBERGER,67000&nbsp;STRASBOURG
66,STRASBOURG BIERE IMPORT,67000&nbsp;STRASBOURG
67,ROI DES VINS LE CAVEAU DE WISSEMBOURG,67160&nbsp;WISSEMBOURG
68,MK BOISSONS,67000&nbsp;STRASBOURG
69,ETABLISSEMENTS HETZEL,67510&nbsp;LEMBACH
70,SOCIETE D'EXPLOITATION KIEHL,67100&nbsp;STRASBOURG
71,SOCIETE D'EXPLOITATION DES ETABLISSEMENTS WENDLING VINS,67500&nbsp;HAGUENAU
72,BECK BOISSONS,67500&nbsp;HAGUENAU
73,SOCIETE D'EXPLOITATION DES BOISSONS DEIS,67110&nbsp;REICHSHOFFEN
74,VIGNEBOIS,67150&nbsp;MATZENHEIM
75,TERRES A VIN,67000&nbsp;STRASBOURG
76,DIDIER PETTERMANN,67650&nbsp;DAMBACH LA VILLE
77,GROUPE KOBLOTH,67140&nbsp;ITTERSWILLER
78,HERRBACH ANDRE,67650&nbsp;DAMBACH LA VILLE
79,SARL LE 58,67750&nbsp;SCHERWILLER
80,VINS EN GROS G ZEYSSOLFF,67140&nbsp;GERTWILLER
81,DOMAINE BOECKEL,67140&nbsp;MITTELBERGHEIM
82,DEPOT DE BIERE DAMM SARL,67600&nbsp;SELESTAT
83,WILLY GISSELBRECHT et FILS VINS FINS d'ALSACE,67650&nbsp;DAMBACH LA VILLE
84,JJ DICKELY,67600&nbsp;SELESTAT
85,VINS FINS D'ALSACE HENRI KIEFFER FILS,67650&nbsp;BLIENSCHWILLER
86,MAISON ANDRE DUSSOURT,67750&nbsp;SCHERWILLER
87,LA BONNE BOUTEILLE,67600&nbsp;SELESTAT
