1,F.T.D SARL,17520&nbsp;Saint-Martial-sur-Né
2,SAS COGNAC René Luc CHABASSE,17400&nbsp;Saint-Jean-d'Angély
3,ETABLISSEMENTS R. LATREUILLE,17260&nbsp;Gémozac
4,MAISON MERLET,17610&nbsp;Saint-Sauvant
5,DISTILLERIE VINET - DELPECH,17520&nbsp;Brie-sous-Archiac
6,SAS DU LARY,17270&nbsp;Clérac
7,IDEL,17520&nbsp;Archiac
8,DISTILLERIES CHARENTAISES,17350&nbsp;Saint-Savinien
9,LA SALAMANDRE,17460&nbsp;Chermignac
10,SARG,17100&nbsp;Fontcouverte
11,TARIN Claude et Michel,17260&nbsp;Tanzac
12,ROBELINES SA,17800&nbsp;Bougneau
13,SEVA,17120&nbsp;Chenac-Saint-Seurin-d'Uzet
14,E.CHARTIER,17770&nbsp;Ecoyeux
15,LE MAINE AU BOIS,17520&nbsp;Saint-Eugène
16,CHATEAU MONTIFAUD,17520&nbsp;Jarnac-Champagne
17,MERCIER ROGER,17100&nbsp;Fontcouverte
18,J. NORMANDIN - MERCIER,17139&nbsp;Dompierre-sur-Mer
19,MAISON RENE LACLIE,17400&nbsp;Saint Jean d'Angely
20,ELVINA,17210&nbsp;Saint-Palais-de-Négrignac
21,PÔLE CERVOISERIE,17230&nbsp;Marans
22,SOMAC SPIRITS,17520&nbsp;Sainte-Lheurine
23,DAPA,17000&nbsp;La Rochelle
24,COGNAC PINEAU DANJOU,17800&nbsp;Pérignac
25,LE MONDE DU VIN,17139&nbsp;Dompierre-sur-Mer
26,ETABLISSEMENTS MARCHAIS,17270&nbsp;Montguyon
27,COMPTOIR FRANCAIS COMMERCIAL,17520&nbsp;Saint-Ciers-Champagne
28,ARRIVE,17260&nbsp;Virollet
29,CORUM DISTRIBUTION,17210&nbsp;Chevanceaux
30,DOBBE,17800&nbsp;Pérignac
31,LISE BACCARA,17800&nbsp;Pons
32,LES CHAIS DU PRUNELAS,17800&nbsp;Salignac-sur-Charente
33,LA ROCHELLE BOISSONS,17180&nbsp;Périgny
34,FINE & SPIRITS,17220&nbsp;Salles-sur-Mer
35,DISTILLERIE CHARPENTIER,17520&nbsp;Brie-sous-Archiac
36,PIERRE-ABEL,17120&nbsp;Epargnes
37,VINTIME,17138&nbsp;Puilboreau
38,SARL BERTRAND,17500&nbsp;Jonzac
39,SARL LE GAULOIS,17130&nbsp;Messac
40,SODEAC,17520&nbsp;Sainte-Lheurine
41,HECTORE,17500&nbsp;Réaux sur Trèfle
42,MONTERU SAS,17800&nbsp;Pons
43,SARL GOUSSELAND P. ET FILS,17120&nbsp;Chenac-Saint-Seurin-d'Uzet
44,BEGEY ET FILS DISTRIBUTION,17770&nbsp;Villars-les-Bois
45,VERGEREAU SARL,17800&nbsp;Salignac-sur-Charente
46,LOUWAN DISTRIBUTION,17000&nbsp;La Rochelle
47,ETABLISSEMENTS GLATIGNY-RAHARD,17260&nbsp;Gémozac
48,MAISON GUERBE ET CIE,17520&nbsp;Brie-sous-Archiac
49,LE DOMAINE DU GRAND VILLAGE,17460&nbsp;Varzay
50,CYRIL CANTOR,17100&nbsp;Saintes
51,C & P INNOVATION,17800&nbsp;Échebrune
52,DE L'AMBREE,17520&nbsp;Saint-Maigrin
53,P&S Commercial Group,17420&nbsp;Saint-Palais-sur-Mer
54,SARL DE BONIFAIT,17120&nbsp;Epargnes
55,A.F.A.M,17770&nbsp;Burie
56,COGNAC GROUSSIN,17610&nbsp;Chérac
57,WE SPEAK SPIRITS,17500&nbsp;Jonzac
58,IWCP : INTERNATIONAL WINES CLAIRE PLISSONNEAU,17600&nbsp;L'Eguille
59,SARL POUILLOUX THIERRY,17800&nbsp;Pérignac
60,CHARTIER,17770&nbsp;Juicq
61,DOMAINE PRIVE COGNAC DISTRIBUTION,17520&nbsp;Arthenac
62,GRAZIANI Grégory, Olivier,17300&nbsp;Rochefort
63,EURL Bernard DOEBLER,17640&nbsp;Vaux-sur-Mer
64,EURL <<LA CERVOISERIE>>,17138&nbsp;Puilboreau
65,"LES CAVES DU CENTRE",17200&nbsp;Royan
66,GRAND GABRIANNE,17330&nbsp;Bernay Saint-Martin
67,F.R.I.,17700&nbsp;Vandré
68,CUVEES, TRADITIONS ET VIGNERONS,17120&nbsp;Cozes
69,GRAPEVINE DISTRIBUTION,17220&nbsp;Saint-Christophe
70,CORNEAU Robert,17270&nbsp;Neuvicq
71,BALLUET Jean Victor Hippolyte Paul Félix,17490&nbsp;Neuvicq-le-Château
72,BALJAC,17490&nbsp;Neuvicq-le-Château
73,LE CLOS DE LA GROIE,17160&nbsp;Brie-sous-Matha
74,SARL LES VIGNERONS DE L'ATLANTIQUE,17260&nbsp;Saint-André-de-Lidon
75,SARL VIGNOBLE FEVRIER,17490&nbsp;Macqueville
76,JARZAGUET Christian,17240&nbsp;Champagnolles
77,DAVRIL Philippe,17120&nbsp;Epargnes
78,GARDRAT,17120&nbsp;Cozes
79,FOUCHER Julien,17160&nbsp;La Brousse
80,BAILLIF,17240&nbsp;Champagnolles
81,BOUCHER Stéphane,17150&nbsp;Saint-Sorlin-de-Conac
82,JOAN BRISSON,17160&nbsp;Matha
83,LES CELLIERS DE L'ATLANTIQUE,17600&nbsp;Saujon
84,UNDERGROUND BUSINESS OFFICE,17770&nbsp;Aujac
85,PERRIER LEAS,17200&nbsp;Royan
86,EURL NATHALIE VALLET,17520&nbsp;Jarnac-Champagne
87,FRELON Emilie,17260&nbsp;Saint-André-de-Lidon
88,JERRY NEGOCE,17520&nbsp;Cierzac
89,SAS BILLAUD PHILIPPE,17100&nbsp;Saint-Vaize
90,SARL LES CROIX BLANCHIES,17600&nbsp;Thézac
91,LABEL BLONDE,17100&nbsp;Fontcouverte
92,BEGOUIN Anne,17520&nbsp;Sainte-Lheurine
93,BEGOUIN Jean-Paul,17520&nbsp;Sainte-Lheurine
