1,LATIGAN,68440&nbsp;HABSHEIM
2,LA HOUBLONNIERE,68200&nbsp;MULHOUSE
3,BEVECO,68100&nbsp;MULHOUSE
4,SOCIETE D'EXPLOITATION DES ETABLISSEMENTS C KUENY,68550&nbsp;ST AMARIN
5,MULLER LUC CHARLES,68750&nbsp;BERGHEIM
6,LA MAISON DES VINS HONGROIS,68180&nbsp;HORBOURG WIHR
7,LE PETIT WETTOLSHEIM,68920&nbsp;WETTOLSHEIM
8,JEAN-PIERRE HEITZMANN ET FILS,68770&nbsp;AMMERSCHWIHR
9,KOEHLER JEAN CLAUDE,68250&nbsp;WESTHALTEN
10,ETABLISSEMENTS RINGENBACH MOISER,68240&nbsp;SIGOLSHEIM
11,DOMAINE VITICOLE DE LA VILLE DE COLMAR,68000&nbsp;COLMAR
12,VINS PROSUITS QUALITAS,68190&nbsp;ENSISHEIM
13,LES PRODUCTEURS REUNIS D ALSACE,68420&nbsp;GUEBERSCHWIHR
14,GREINER PIERRE,68630&nbsp;MITTELWIHR
15,CAVES ANDRE HEITZMANN,68600&nbsp;NEUF BRISACH
16,SARL ALBERT HERTZ,68420&nbsp;EGUISHEIM
17,KIENAST,68630&nbsp;MITTELWIHR
18,LUDOVINUM,68300&nbsp;ST LOUIS
19,VINSURVINS,68600&nbsp;OBERSAASHEIM
20,SOCIETE A RESPONSABILITE LIMITEE ALBERT MANN,68920&nbsp;WETTOLSHEIM
21,SPIRITE SARL,68150&nbsp;OSTHEIM
22,BIERES DE SAINT LOUIS,68300&nbsp;ST LOUIS
23,WINE VIN,68520&nbsp;BURNHAUPT LE HAUT
24,SARL WALTER BERNARD & FILS,68250&nbsp;PFAFFENHEIM
25,SICK DREYER,68770&nbsp;AMMERSCHWIHR
26,SCV EUROPE,68280&nbsp;ANDOLSHEIM
27,MEYER THUET VINS,68220&nbsp;HESINGUE
28,SARL VINS MULLENBACH MARCEL,68230&nbsp;NIEDERMORSCHWIHR
29,LEONARD HUMBRECHT VINS FINS D'ALSACE,68230&nbsp;TURCKHEIM
30,D. E. CORNAZ SOCIETE A RESPONSABILITE LIMITEE PROPRIETAIRES-VITICULTEURS,68340&nbsp;RIQUEWIHR
31,GILBERT HERRMANN DISTRIBUTION SARL,68150&nbsp;RIBEAUVILLE
32,ISABELLE'S WINES SELECTIONS,68000&nbsp;COLMAR
33,ALSACE PE DOPFF ET FILS,68340&nbsp;RIQUEWIHR
34,SARL STOEFFLER,68980&nbsp;BEBLENHEIM
35,SOCIETE A RESPONSABILITE LIMITEE SCHOEPFER MULLER,68920&nbsp;WETTOLSHEIM
36,AQUAPEARL,68370&nbsp;ORBEY
37,GSELL MARIE CHRISTINE,68420&nbsp;EGUISHEIM
38,SCALZITTI JEAN FRANCOIS ANTOINE MARIO,68720&nbsp;TAGOLSHEIM
39,SARL STENTZ AIME ET FILS,68920&nbsp;WETTOLSHEIM
40,SARL MOLTES ANTOINE & FILS,68250&nbsp;PFAFFENHEIM
41,VINS VEUVE JOSEPH PFISTER,68770&nbsp;AMMERSCHWIHR
42,SOCIETE A RESPONSABILITE LIMITEE MITTNACHT KLACK,68340&nbsp;RIQUEWIHR
43,BOISSONS SERVICE PINTO,68200&nbsp;MULHOUSE
44,EURL JEAN MARIE VOELKER,68500&nbsp;ORSCHWIHR
45,SARL SCHAFFHAUSER JEAN PAUL,68920&nbsp;WETTOLSHEIM
46,STEMPFEL CHRISTIAN,68420&nbsp;OBERMORSCHWIHR
47,SYNERGY FRANCE,68540&nbsp;BOLLWILLER
48,BOUXHOF EDEL FRERES,68630&nbsp;MITTELWIHR
49,CFW LES VINS,68240&nbsp;KIENTZHEIM
50,ORME DIFFUSION EURL,68320&nbsp;HOLTZWIHR
51,D'VINE ESTATES,68240&nbsp;SIGOLSHEIM
52,EURL VINO SELECT,68320&nbsp;ARTZENHEIM
53,CAP A L'EST,68340&nbsp;RIQUEWIHR
54,SAS SCHLEGEL BOEGLIN,68250&nbsp;WESTHALTEN
55,LES CAVES JEAN DIETRICH,68240&nbsp;KAYSERSBERG
56,SICA CELLIER DE LA WEISS,68240&nbsp;KAYSERSBERG
57,FRITSCH JOSEPH MARCEL FRITSCH JOSEPH MARCEL,68240&nbsp;KIENTZHEIM
58,BREYER SEBASTIEN DAVID,68800&nbsp;THANN
59,NECTARS ET CRUS,68210&nbsp;ETEIMBES
60,PREISS ZIMMER,68340&nbsp;RIQUEWIHR
61,FOOD AND BEVERAGE DISTRIBUTION,68110&nbsp;ILLZACH
62,FANS DE MOUSSE,68220&nbsp;HESINGUE
63,DOMAINE MARTIN JUND SARL,68000&nbsp;COLMAR
64,ALSACE BURCKARD,68340&nbsp;RIQUEWIHR
65,VINS D'ALSACE ALBERT SCHOECH,68770&nbsp;AMMERSCHWIHR
66,SARL MICHEL MEYER,68500&nbsp;ORSCHWIHR
67,VINS D'ALSACE ESCHBACH DORNSTETTER,68420&nbsp;EGUISHEIM
68,LA CAVE DE L'ANNEAU,68000&nbsp;COLMAR
69,MCL,68000&nbsp;COLMAR
70,SARL MEYER FELIX,68230&nbsp;KATZENTHAL
71,SARL VORBURGER PHILIPPE,68420&nbsp;VOEGTLINSHOFFEN
72,ETABLISSEMENTS SCHUSTER SARL,68370&nbsp;ORBEY
73,A&J,68420&nbsp;VOEGTLINSHOFFEN
74,JAF Q.G.,68000&nbsp;COLMAR
75,BURGHART SPETTEL,68630&nbsp;MITTELWIHR
76,HARTWEG,68980&nbsp;BEBLENHEIM
77,DOMAINE DU MOULIN DE DUSENBACH,68150&nbsp;RIBEAUVILLE
78,HAEFFELIN HENRI ET FILS,68920&nbsp;WETTOLSHEIM
79,ETABLISSEMENTS CIPRIANO,68610&nbsp;LINTHAL
80,SARL LES SPECIALISTES VINS ET BIERES,68630&nbsp;MITTELWIHR
81,SARL LES BRASSERIES DE L'ILL,68190&nbsp;ENSISHEIM
82,MAISON PIERRE SPARR SUCCESSEURS,68980&nbsp;BEBLENHEIM
83,VINOCAUSA,68140&nbsp;SOULTZEREN
84,SARL DOMAINE HANNAUER REGIS,68250&nbsp;PFAFFENHEIM
85,B 2M,68910&nbsp;LABAROCHE
86,JOSMEYER,68920&nbsp;WINTZENHEIM
87,VINS D'ALSACE KUEHN,68770&nbsp;AMMERSCHWIHR
88,J. BECKER VITICULTEURS-NEGOCIANTS,68340&nbsp;ZELLENBERG
89,VINS D'ALSACE A SCHERER SARL,68420&nbsp;HUSSEREN LES CHATEAUX
90,ROBERT FALLER & FILS SARL,68150&nbsp;RIBEAUVILLE
91,VINS FINS D'ALSACE FRANCOIS BAUR,68230&nbsp;TURCKHEIM
92,VINS D ALSACE JEAN SIPP,68150&nbsp;RIBEAUVILLE
93,MURE,68250&nbsp;ROUFFACH
94,DOMAINE BOTT FRERES,68150&nbsp;RIBEAUVILLE
95,BARON DE HOEN SOCIETE A RESPONSABILITE LIMITEE,68980&nbsp;BEBLENHEIM
96,EHRHART AMMERSCHWIHR SA,68770&nbsp;AMMERSCHWIHR
97,FREUDENREICH JEAN LUC,68420&nbsp;EGUISHEIM
98,HAEGELIN MATERNE ET SES FILLES,68500&nbsp;ORSCHWIHR
99,VINS ZINCK SARL,68420&nbsp;EGUISHEIM
100,C W L,68420&nbsp;VOEGTLINSHOFFEN
101,sarl MITTNACHT FRERES,68150&nbsp;HUNAWIHR
102,WECK CLEMENT & FILS,68420&nbsp;GUEBERSCHWIHR
103,SARL BRAUN FRANCOIS ET FILS,68500&nbsp;ORSCHWIHR
104,SARL VINS JOSEPH GRUSS ET FILS,68420&nbsp;EGUISHEIM
105,SOCIETE A RESPONSABILITE LIMITEE DIRINGER,68250&nbsp;WESTHALTEN
106,GRANDS VINS D'ALSACE JEAN-JACQUES MULLER SARL,68750&nbsp;BERGHEIM
107,SOCIETE A RESPONSABILITE LIMITEE BOTT GEYL,68980&nbsp;BEBLENHEIM
108,FDAC SARL,68920&nbsp;WETTOLSHEIM
109,VIGNOBLE KLUR CLEMENT SARL,68230&nbsp;KATZENTHAL
110,SARL MAULER ANDRE ET SUCCESSEURS,68980&nbsp;BEBLENHEIM
111,VINUM,68170&nbsp;RIXHEIM
112,BBS,68270&nbsp;WITTENHEIM
113,MEYER JOEL,68220&nbsp;HESINGUE
114,CAVES MEYER THUET,68220&nbsp;HESINGUE
115,BILGER BOISSONS,68510&nbsp;SIERENTZ
116,SARL ENTREPOT JAEGLE,68270&nbsp;WITTENHEIM
117,LA HOUBLONNIERE - PALAIS DE LA BIERE,68300&nbsp;SAINT LOUIS
118,MEUNIER PATRICK RENE,68100&nbsp;MULHOUSE
119,HIRSCH FRANCE,68220&nbsp;BUSCHWILLER
120,LES VINS DES CHATEAUX,68220&nbsp;ATTENSCHWILLER
121,SOCIETE D'EXPLOITATION DES ETABLISSEMENTS STRAUSS,68990&nbsp;HEIMSBRUNN
122,HENN,68390&nbsp;SAUSHEIM
123,BURGER GEORGES,68480&nbsp;DURMENACH
124,ETABLISSEMENTS PIERRE WYBRECHT,68170&nbsp;RIXHEIM
125,CLOS 3 4 SARL,68110&nbsp;ILLZACH
126,DOMAINE A &R SIMON COTEAUX DU VIGNOBLE,68590&nbsp;ST HIPPOLYTE
127,JAT GERBER METZ,68150&nbsp;RIBEAUVILLE
128,SOCIETE SALBER ERNY,68590&nbsp;RODERN
129,CAVES JACQUES BAUMANN,68200&nbsp;MULHOUSE
130,MARIE & CECILE ALBRECHT-BLEGER,68500&nbsp;ORSCHWIHR
131,TERROIRS D'OR,68250&nbsp;PFAFFENHEIM
132,DOPFF ET IRION,68340&nbsp;RIQUEWIHR
133,ETS P. ADAM,68116&nbsp;GUEWENHEIM
134,CELLIER DU MUHLBACH,68126&nbsp;BENNWIHR
135,PAUL BUECHER,68920&nbsp;WETTOLSHEIM
136,JEAN PAUL GISSELBRECHT,68150&nbsp;RIBEAUVILLE
137,TRABER DISTRIBUTION,68130&nbsp;OBERMORSCHWILLER
138,ESPACE VINS LE VIGNERON,68300&nbsp;ST LOUIS
139,SARL WEIGEL LITZLER,68960&nbsp;OBERDORF
140,MS SARL,68440&nbsp;ESCHENTZWILLER
141,SARL GERARD HERTZOG,68420&nbsp;GUEBERSCHWIHR
142,SARL MICHELE ET JEAN LUC STOECKLE,68230&nbsp;KATZENTHAL
143,SARL VINS KNELLWOLF JEHL,68590&nbsp;ST HIPPOLYTE
144,VINIDEES,68200&nbsp;MULHOUSE
145,SARL GRANDES BIERES ET GRANDS VINS DU MONDE,68920&nbsp;WINTZENHEIM
