1,PEPSICO FRANCE SNC,92705&nbsp;Colombes CEDEX
2,ORANGINA SCHWEPPES FRANCE,92200&nbsp;Neuilly-sur-Seine
3,NESTLE WATERS MARKETING & DISTRIBUTION,92130&nbsp;Issy-les-Moulineaux
4,CAP WINE INTERNATIONAL,92200&nbsp;Neuilly-sur-Seine
5,LA VALLONGUE,92400&nbsp;Courbevoie
6,RICHARD,92230&nbsp;Gennevilliers
7,FRANCE BOISSONS ILE DE FRANCE,92230&nbsp;Gennevilliers
8,SOCIETE NOUVELLE DE PRODUITS ALIMENTAIRES,92110&nbsp;Clichy
9,INTER CAVES,92230&nbsp;Gennevilliers
10,LE COMPTOIR DU VIN,92300&nbsp;Levallois-Perret
11,BARNUM,92390&nbsp;Villeneuve-la-Garenne
12,COMPTOIR DES VINS DU SOLEIL,92400&nbsp;Courbevoie
13,FABULOUS BRANDS,92240&nbsp;Malakoff
14,LES LONGS REAGES,92190&nbsp;Meudon
15,ROYAL SLUSH COMPANY,92100&nbsp;Boulogne-Billancourt
16,COMPAGNIE FINANCIÈRE ET VITICOLE DE PARIS,92200&nbsp;Neuilly-sur-Seine
17,LMDW CREATIONS,92110&nbsp;Clichy
18,VERT ET OR & ASSOCIES,92300&nbsp;Levallois-Perret
19,Ethical Wine & Spirits,92100&nbsp;Boulogne-Billancourt
20,LA VINERIA,92500&nbsp;Rueil-Malmaison
21,MHD MOET HENNESSY DIAGEO,92400&nbsp;Courbevoie
22,VITIS EPICURIA,92200&nbsp;Neuilly-sur-Seine
23,CHEMIN DES VIGNES,92130&nbsp;Issy-les-Moulineaux
24,MED'S - COMPTOIR DES VINS,92120&nbsp;Montrouge
25,LMDW COLLECTIONS,92110&nbsp;Clichy
26,GAVROCHE BOISSONS,92110&nbsp;Clichy
27,LES CHAIS DE FRANCE,92130&nbsp;Issy-les-Moulineaux
28,SOUTH WORLD WINES,92130&nbsp;Issy-les-Moulineaux
29,NEGOTIUM,92200&nbsp;Neuilly-sur-Seine
30,VERT ET OR,92300&nbsp;Levallois-Perret
31,COMPAGNIE GENERALE DES VINS,92260&nbsp;Fontenay-aux-Roses
32,SINOFRAM,92380&nbsp;Garches
33,LES GRANDS VINS DE L'EMPEREUR,92130&nbsp;Issy-les-Moulineaux
34,OENOSCHOOL SARL,92600&nbsp;Asnières-sur-Seine
35,SCANDIVINE,92150&nbsp;Suresnes
36,ILE DE FRANCE SOURCES,92300&nbsp;Levallois-Perret
37,ELLESVINO,92200&nbsp;Neuilly-sur-Seine
38,FRANCE BEVERAGE & FOOD,92270&nbsp;Bois-Colombes
39,LES BOISSONS ENERGISANTES,92100&nbsp;Boulogne-Billancourt
40,LE GOFF CONSEILS,92120&nbsp;Montrouge
41,MIL ET ZIM,92000&nbsp;Nanterre
42,VINS CHRISTOPHE DUMONT,92380&nbsp;Garches
43,MSR BOISSONS,92300&nbsp;Levallois-Perret
44,SARL SAVEURS ET MILLESIMES,92120&nbsp;Montrouge
45,COTE VINS,92200&nbsp;Neuilly-sur-Seine
46,UN SAUT A LA CAVE,92210&nbsp;Saint-Cloud
47,BRAND PIONEERS FRANCE,92130&nbsp;Issy-les-Moulineaux
48,CAVEXCHANGE,92130&nbsp;Issy-les-Moulineaux
49,APOGEE,92140&nbsp;Clamart
50,CAP SUR LE VIN,92150&nbsp;Suresnes
51,VINOPTIMO,92100&nbsp;Boulogne-Billancourt
52,EURL GUILLAUME LECOINTRE,92300&nbsp;Levallois-Perret
53,CASA GAVA,92170&nbsp;Vanves
54,LE BARON DE BOURGOGNE,92200&nbsp;Neuilly-sur-Seine
55,PAR3,92330&nbsp;Sceaux
56,LUXEMANIA,92100&nbsp;Boulogne-Billancourt
57,VINDEL,92100&nbsp;Boulogne-Billancourt
58,MCA SAS,92100&nbsp;Boulogne-Billancourt
59,CREATIVE DRINK,92220&nbsp;Bagneux
60,FOUGERE SARL,92975&nbsp;PARIS LA DEFENSE 2
61,LUXE CAPITAL,92330&nbsp;Sceaux
62,FRUTOIA SASU,92250&nbsp;La Garenne-Colombes
63,SARL SAMBRON NEGOCE,92200&nbsp;Neuilly-sur-Seine
64,REIGNAC SELECTION,92160&nbsp;Antony
65,ANGEL WINE,92600&nbsp;Asnières-sur-Seine
66,LA CIGOGNE NOIRE,92110&nbsp;Clichy
67,MAISON MAIROT,92260&nbsp;Fontenay-aux-Roses
68,VINS 100,92290&nbsp;Châtenay-Malabry
69,DE LA VIGNE O VERRE,92250&nbsp;La Garenne-Colombes
70,F.S.W,92700&nbsp;Colombes
71,PENARD'S WINE & PARTNER'S,92150&nbsp;Suresnes
72,LA MORDUE,92130&nbsp;Issy-les-Moulineaux
73,INTER BRASSERIE,92110&nbsp;Clichy
74,QUENIOUX Alain Gerard Armand,92100&nbsp;Boulogne-Billancourt
