1,LE CLUB DES MARQUES,40190&nbsp;Villeneuve-de-Marsan
2,DOMAINE D'ESPERANCE,40240&nbsp;Mauvezin-d'Armagnac
3,ETABLISSEMENTS LAPIQUE,40100&nbsp;Dax
4,DISTRILAND,40000&nbsp;Mont-de-Marsan
5,SOCIETE SAINT-JEAN,40000&nbsp;Mont-de-Marsan
6,ETABLISSEMENTS A. GARBAY,40360&nbsp;POMAREZ
7,PUYOBRAU FRERES,40230&nbsp;Saint-Geours-de-Maremne
8,CENTRE DE BRASSOTHERAPIE,40230&nbsp;Saint-Vincent-de-Tyrosse
9,STE ETS MAURICE LAFITTE VINS BIERES BOISSONS -,40700&nbsp;Hagetmau
10,BRASSERIE JAMM'S,40500&nbsp;Montaut
11,BOTTLES AND COMPANY,40000&nbsp;Mont-de-Marsan
12,LANCHON DISTRIBUTION,40100&nbsp;Dax
13,SARL JEAN DU HAUT,40190&nbsp;Perquie
14,LPCJ DISTRIBUTION,40500&nbsp;Montaut
15,DULUCQ Alain Jean Claude,40320&nbsp;PAYROS CAZAUTETS
16,LAFONTAN Jean-René,40140&nbsp;Magescq
17,RABOUY Fabrice,40230&nbsp;Saubion
18,SARL ARRAYAGO,40220&nbsp;TARNOS
19,NOGUES DIFFUSION,40500&nbsp;Banos
20,ARMAGNAC CHABOT,40240&nbsp;Labastide-d'Armagnac
21,LA CAVE,40180&nbsp;Narrosse
22,LANDES ADOUR DISTRIBUTION,40500&nbsp;St Sever
23,GROUPE ADS,40800&nbsp;Aire sur l'Adour
24,LA BARRIQUE DE CHARLES,40110&nbsp;Morcenx
25,ARMAGNACS LE TOUR BLANC SARL,40800&nbsp;Aire sur l'Adour
26,FONTANY Peter Aimé Etienne,40400&nbsp;Tartas
27,ALEMANCE PARIS,40300&nbsp;Peyrehorade
28,FACCA/DULUCQ,40320&nbsp;Payros-Cazautets
29,GASCO BIB,40270&nbsp;Cazères-sur-l'Adour
30,CHATEAUX MILLESIMES ET TERROIRS,40120&nbsp;Roquefort
31,PH B DISTRIBUTION,40240&nbsp;Labastide-d'Armagnac
32,CHALOSSE DISTRIBUTION,40500&nbsp;Saint-Sever
33,SASU BOISSON DU BORN,40160&nbsp;Parentis-en-Born
34,ABPL SAS,40240&nbsp;Mauvezin-d'Armagnac
35,SARL COMPAGNIE VINICOLE SUD AQUITAINE,40320&nbsp;Geaune
36,AMVM,40990&nbsp;Mées
37,LES VIGNERONS D'ALEX LIT ET MIXE,40170&nbsp;Lit et Mixe
38,SARL DANTHEZ BOISSONS SERVICES,40110&nbsp;Arengosse
39,ARMAGNACS DU CHATEAU DE LACQUY,40120&nbsp;Lacquy
40,VINS LAMIABLE,40180&nbsp;Saugnac et Cambran
41,CDB,40465&nbsp;Pontonx-sur-l'Adour
