1,MOY SELECTION,57600&nbsp;SCHOENECK
2,INFINITY,57050&nbsp;LONGEVILLE LES METZ
3,MK GROUP DISTRIBUTION,57000&nbsp;METZ
4,SLD,57880&nbsp;HAM SOUS VARSBERG
5,BERNER KLAUS,57910&nbsp;HAMBACH
6,CM INTERNATIONAL DISTRIBUTION,57970&nbsp;YUTZ
7,CEMKO,57185&nbsp;VITRY SUR ORNE
8,ETABLISSEMENT ARCHEN ET COMPAGNIE,57650&nbsp;FONTOY
9,ETABLISSEMENT R VAX ET FILS,57480&nbsp;SIERCK LES BAINS
10,BALLE ERIC,57780&nbsp;ROSSELANGE
11,MOND'EAU,57050&nbsp;METZ
12,WALT AND WINES,57570&nbsp;RODEMACK
13,AB,57640&nbsp;VRY
14,INTENSEMENT VIN,57185&nbsp;VITRY SUR ORNE
15,MAISON LOUDCHER ET PICARD,57150&nbsp;CREUTZWALD
16,MAMIE GATEAUX,57070&nbsp;ST JULIEN LES METZ
17,AS BOISSON,57370&nbsp;PHALSBOURG
18,JEK SPIRITUEUX,57100&nbsp;THIONVILLE
19,EURL STEPHANE VIEUX MILLESIMES,57650&nbsp;FONTOY
20,OENO SOURCING,57245&nbsp;PELTRE
21,SG LORCOM,57050&nbsp;LONGEVILLE LES METZ
22,OSELLAME JEAN-PIERRE,57070&nbsp;METZ
23,MICROMEGAS WINES,57050&nbsp;LONGEVILLE LES METZ
24,BEER TO BEER,57000&nbsp;METZ
25,MBOISSONS,57730&nbsp;LACHAMBRE
26,SANDOMIR,57280&nbsp;SEMECOURT
27,PIT BULL,57000&nbsp;METZ
28,PIMP MY CLUB,57700&nbsp;HAYANGE
29,EUROPEAN DRINKS TRADING,57000&nbsp;METZ
30,FRAMALU,57000&nbsp;METZ
31,BOISSONS GEREM,57930&nbsp;BERTHELMING
32,MAISON CASSANO RIBEIREX NOUVELLE,57365&nbsp;ENNERY
33,SARL ANTHOCYANES,57000&nbsp;METZ
34,ROUSSELOT BOISSONS,57580&nbsp;REMILLY
35,NOBLE PARTNERS,57365&nbsp;ENNERY
36,ETABLISSEMENTS CHIAPPA,57640&nbsp;VIGY
37,SOCIETE LEJEUNE MARTIN,57380&nbsp;FAULQUEMONT
38,SOCOVIAL PAQUIN,57385&nbsp;TETING SUR NIED
39,ROUGE ET BLANC,57520&nbsp;GROSBLIEDERSTROFF
40,DIOGENE ATMOSPHERE,57200&nbsp;SARREGUEMINES
41,CLAP,57350&nbsp;STIRING WENDEL
42,IVV DIFFUSION,57460&nbsp;KERBACH
43,ETABLISSEMENTS PAUL KIHL,57200&nbsp;SARREGUEMINES
44,SOCIETE D EXPLOITATION DES ETABLISSEMENTS PENNERATH,57890&nbsp;PORCELETTE
45,CHANUT CLAUDE PATRICK,57310&nbsp;GUENANGE
46,LA MAISON DES VINS,57970&nbsp;BASSE HAM
47,SOC EXPLOIT CAVES PIERRE BOUSQUET,57100&nbsp;THIONVILLE
48,CAVES SAINT EUCAIRE E HENNEQUIN ET FILS,57000&nbsp;METZ
49,SOCIETE WAGNER FRANCE ALCOOLS ET VINS UNION EXPORT,57350&nbsp;SPICHEREN
50,NORD EST DISTRIBUTION,57600&nbsp;FORBACH
51,VENUS VINS,57000&nbsp;METZ
52,DIETRICH VINS DIFFUSION,57630&nbsp;VIC SUR SEILLE
53,WARNDT BOISSONS,57150&nbsp;CREUTZWALD
54,LE SOMMELIER,57000&nbsp;METZ
55,LES DIEUX DU VIN,57860&nbsp;MONTOIS LA MONTAGNE
56,UNISGAMES,57000&nbsp;METZ
