1,BOUQUET AUSTRAL,78590&nbsp;Noisy-le-Roi
2,CHANTOVENT,78270&nbsp;Bonnières-sur-Seine
3,REPRESENTATION ET DISTRIBUTION DE MARQUES,78550&nbsp;Houdan
4,BRASSERIE BAVARIA,78750&nbsp;Mareil-Marly
5,ETABLISSEMENTS MARTEAU ET COMPAGNIE,78350&nbsp;Jouy-en-Josas
6,AIGLE 20,78160&nbsp;Marly-le-Roi
7,BONBONNET ELEVAGE,78220&nbsp;Viroflay
8,AQUALYRE,78310&nbsp;Coignières
9,SOCIETE SAKAGUCHI,78830&nbsp;Bonnelles
10,ETABLISSEMENTS MICHEL SABAN ET CIE,78150&nbsp;Le Chesnay
11,DIVINITES DU SUD,78120&nbsp;Rambouillet
12,PROXI BOISSONS NORMANDIE - PBN,78920&nbsp;Ecquevilly
13,SARL ROHRBACH,78000&nbsp;Versailles
14,ZERO DEGRES,78112&nbsp;Fourqueux
15,AUD' & VINS,78290&nbsp;Croissy-sur-Seine
16,SVDR,78750&nbsp;Mareil-Marly
17,LA BEEROTEK,78000&nbsp;Versailles
18,BRUNEAU ET FILS,78180&nbsp;Montigny-le-Bretonneux
19,SARL CAVES BOURDIN,78380&nbsp;Bougival
20,VINONOBILIS,78350&nbsp;Les Loges-en-Josas
21,MARINAVINS,78730&nbsp;Saint-Arnoult-en-Yvelines
22,CAP DELICES,78530&nbsp;Buc
23,SOSWINE,78110&nbsp;Le Vésinet
24,LA MAISON DES VIGNERONS,78000&nbsp;Versailles
25,FRENCHIES WINES,78870&nbsp;Bailly
26,OPENORGANIC SCS,78540&nbsp;Vernouillet
27,CIRES,78620&nbsp;L'Étang-la-Ville
28,ALLIANCE VINS FINS,78000&nbsp;Versailles
29,ALLIANCE VINS FINS,78000&nbsp;Versailles
30,VINS & CHATEAUX,78670&nbsp;Villennes-sur-Seine
31,EPICURIS,78600&nbsp;Maisons-Laffitte
32,BISSAO,78100&nbsp;Saint-Germain-en-Laye
33,VINHOMINES,78600&nbsp;Maisons-Laffitte
34,Jacques Millet Négoce,78630&nbsp;Morainvilliers
35,DRINKS OF FIRE,78200&nbsp;Magnanville
36,VINS D EXCEPTION,78100&nbsp;Saint-Germain-en-Laye
37,SARL PEROSI,78110&nbsp;Le Vésinet
38,VINS ET GOURMANDISES,78930&nbsp;Breuil-Bois-Robert
39,SARL ANGELA,78270&nbsp;Jeufosse
40,LES CAVES DU BON TEMPS,78780&nbsp;Maurecourt
41,ATOUT-VINS,78800&nbsp;Houilles
42,C.J.P. SILVER,78160&nbsp;Marly-le-Roi
43,AGENCE VINCENT DUBERNET,78124&nbsp;Mareil-sur-Mauldre
44,VINS SI,78430&nbsp;Louveciennes
45,MALTS ET CEPAGES,78460&nbsp;Chevreuse
46,OWUSU AFRIYIE Eric,78270&nbsp;Bonnières-sur-Seine
47,LES VINS TRANQUILLE,78440&nbsp;Gargenville
48,SINA Z FRANCE,78500&nbsp;Sartrouville
49,DIFFERENT WINES,78120&nbsp;Rambouillet
50,NPS,78310&nbsp;Maurepas
51,LVF POISSY,78300&nbsp;Poissy
52,SILENE GRANDS CRUS,78000&nbsp;Versailles
53,LBDH DISTRIBUTION,78110&nbsp;Le Vésinet
54,EDOUARD,78100&nbsp;Saint-Germain-en-Laye
55,VINSUMMUM FRANCE,78124&nbsp;Mareil-sur-Mauldre
56,VINOPHORIA,78100&nbsp;Saint-Germain-en-Laye
57,ALTO NC,78310&nbsp;Maurepas
58,LES TERROIRS,78180&nbsp;Montigny-le-Bretonneux
59,VFX,78960&nbsp;Voisins-le-Bretonneux
60,AJS VINS,78630&nbsp;Orgeval
61,GDB,78190&nbsp;Trappes
62,COUDERC Julien,78800&nbsp;Houilles
63,IDA BOISSONNERIE,78220&nbsp;Viroflay
