IDA;Aire geographique;Signe FR;Signe UE;Produit
2046;Agenais;;IGP;Agenais blanc
2046;Agenais;;IGP;Agenais mousseux de qualité blanc
2046;Agenais;;IGP;Agenais mousseux de qualité rosé
2046;Agenais;;IGP;Agenais primeur ou nouveau blanc
2046;Agenais;;IGP;Agenais primeur ou nouveau rosé
2046;Agenais;;IGP;Agenais primeur ou nouveau rouge
2046;Agenais;;IGP;Agenais rosé
2046;Agenais;;IGP;Agenais rouge
2046;Agenais;;IGP;Agenais surmûri blanc
1316;Ajaccio;AOC;AOP;Ajaccio blanc
1316;Ajaccio;AOC;AOP;Ajaccio rosé
1316;Ajaccio;AOC;AOP;Ajaccio rouge
220;Aloxe-Corton;AOC;AOP;Aloxe-Corton
235;Aloxe-Corton premier cru;AOC;AOP;Aloxe-Corton premier cru blanc
221;Aloxe-Corton premier cru Clos des Maréchaudes;AOC;AOP;Aloxe-Corton premier cru Clos des Maréchaudes blanc
221;Aloxe-Corton premier cru Clos des Maréchaudes;AOC;AOP;Aloxe-Corton premier cru Clos des Maréchaudes rouge
222;Aloxe-Corton premier cru Clos du Chapitre;AOC;AOP;Aloxe-Corton premier cru Clos du Chapitre blanc
222;Aloxe-Corton premier cru Clos du Chapitre;AOC;AOP;Aloxe-Corton premier cru Clos du Chapitre rouge
223;Aloxe-Corton premier cru La Coutière;AOC;AOP;Aloxe-Corton premier cru La Coutière blanc
223;Aloxe-Corton premier cru La Coutière;AOC;AOP;Aloxe-Corton premier cru La Coutière rouge
224;Aloxe-Corton premier cru La Maréchaude;AOC;AOP;Aloxe-Corton premier cru La Maréchaude blanc
224;Aloxe-Corton premier cru La Maréchaude;AOC;AOP;Aloxe-Corton premier cru La Maréchaude rouge
225;Aloxe-Corton premier cru La Toppe au Vert;AOC;AOP;Aloxe-Corton premier cru La Toppe au Vert blanc
225;Aloxe-Corton premier cru La Toppe au Vert;AOC;AOP;Aloxe-Corton premier cru La Toppe au Vert rouge
226;Aloxe-Corton premier cru Les Chaillots;AOC;AOP;Aloxe-Corton premier cru Les Chaillots blanc
226;Aloxe-Corton premier cru Les Chaillots;AOC;AOP;Aloxe-Corton premier cru Les Chaillots rouge
227;Aloxe-Corton premier cru Les Fournières;AOC;AOP;Aloxe-Corton premier cru Les Fournières blanc
227;Aloxe-Corton premier cru Les Fournières;AOC;AOP;Aloxe-Corton premier cru Les Fournières rouge
228;Aloxe-Corton premier cru Les Guérets;AOC;AOP;Aloxe-Corton premier cru Les Guérets blanc
228;Aloxe-Corton premier cru Les Guérets;AOC;AOP;Aloxe-Corton premier cru Les Guérets rouge
229;Aloxe-Corton premier cru Les Maréchaudes;AOC;AOP;Aloxe-Corton premier cru Les Maréchaudes blanc
229;Aloxe-Corton premier cru Les Maréchaudes;AOC;AOP;Aloxe-Corton premier cru Les Maréchaudes rouge
230;Aloxe-Corton premier cru Les Moutottes;AOC;AOP;Aloxe-Corton premier cru Les Moutottes blanc
230;Aloxe-Corton premier cru Les Moutottes;AOC;AOP;Aloxe-Corton premier cru Les Moutottes rouge
231;Aloxe-Corton premier cru Les Paulands;AOC;AOP;Aloxe-Corton premier cru Les Paulands blanc
231;Aloxe-Corton premier cru Les Paulands;AOC;AOP;Aloxe-Corton premier cru Les Paulands rouge
232;Aloxe-Corton premier cru Les Petites Folières;AOC;AOP;Aloxe-Corton premier cru Les Petites Folières blanc
232;Aloxe-Corton premier cru Les Petites Folières;AOC;AOP;Aloxe-Corton premier cru Les Petites Folières rouge
233;Aloxe-Corton premier cru Les Valozières;AOC;AOP;Aloxe-Corton premier cru Les Valozières blanc
233;Aloxe-Corton premier cru Les Valozières;AOC;AOP;Aloxe-Corton premier cru Les Valozières rouge
234;Aloxe-Corton premier cru Les Vercots;AOC;AOP;Aloxe-Corton premier cru Les Vercots blanc
234;Aloxe-Corton premier cru Les Vercots;AOC;AOP;Aloxe-Corton premier cru Les Vercots rouge
235;Aloxe-Corton premier cru;AOC;AOP;Aloxe-Corton premier cru rouge
220;Aloxe-Corton;AOC;AOP;Aloxe-Corton rouge
1974;Alpes-de-Haute-Provence;;IGP;Alpes-de-Haute-Provence blanc
1974;Alpes-de-Haute-Provence;;IGP;Alpes-de-Haute-Provence primeur ou nouveau blanc
1974;Alpes-de-Haute-Provence;;IGP;Alpes-de-Haute-Provence primeur ou nouveau rosé
1974;Alpes-de-Haute-Provence;;IGP;Alpes-de-Haute-Provence primeur ou nouveau rouge
1974;Alpes-de-Haute-Provence;;IGP;Alpes-de-Haute-Provence rosé
1974;Alpes-de-Haute-Provence;;IGP;Alpes-de-Haute-Provence rouge
1976;Alpes-Maritimes;;IGP;Alpes-Maritimes blanc
1976;Alpes-Maritimes;;IGP;Alpes-Maritimes mousseux de qualité blanc
1976;Alpes-Maritimes;;IGP;Alpes-Maritimes mousseux de qualité rosé
1976;Alpes-Maritimes;;IGP;Alpes-Maritimes mousseux de qualité rouge
1976;Alpes-Maritimes;;IGP;Alpes-Maritimes primeur ou nouveau blanc
1976;Alpes-Maritimes;;IGP;Alpes-Maritimes primeur ou nouveau rosé
1976;Alpes-Maritimes;;IGP;Alpes-Maritimes primeur ou nouveau rouge
1976;Alpes-Maritimes;;IGP;Alpes-Maritimes rosé
1976;Alpes-Maritimes;;IGP;Alpes-Maritimes rouge
1992;Alpilles;;IGP;Alpilles blanc
1992;Alpilles;;IGP;Alpilles primeur ou nouveau blanc
1992;Alpilles;;IGP;Alpilles primeur ou nouveau rosé
1992;Alpilles;;IGP;Alpilles primeur ou nouveau rouge
1992;Alpilles;;IGP;Alpilles rosé
1992;Alpilles;;IGP;Alpilles rouge
1;Alsace suivi ou non d'un nom de lieu-dit;AOC;AOP;Alsace blanc Auxerrois
1;Alsace suivi ou non d'un nom de lieu-dit;AOC;AOP;Alsace blanc Chasselas ou Gutedel
1;Alsace suivi ou non d'un nom de lieu-dit;AOC;AOP;Alsace blanc Edelzwicker
1;Alsace suivi ou non d'un nom de lieu-dit;AOC;AOP;Alsace blanc Gewurztraminer
1;Alsace suivi ou non d'un nom de lieu-dit;AOC;AOP;Alsace blanc Muscat
1;Alsace suivi ou non d'un nom de lieu-dit;AOC;AOP;Alsace blanc Muscat Ottonel
1;Alsace suivi ou non d'un nom de lieu-dit;AOC;AOP;Alsace blanc Pinot blanc
1;Alsace suivi ou non d'un nom de lieu-dit;AOC;AOP;Alsace blanc Pinot Gris
1;Alsace suivi ou non d'un nom de lieu-dit;AOC;AOP;Alsace blanc Pinot ou Klevner
1;Alsace suivi ou non d'un nom de lieu-dit;AOC;AOP;Alsace blanc Riesling
1;Alsace suivi ou non d'un nom de lieu-dit;AOC;AOP;Alsace blanc Sylvaner
2302;Alsace Blienschwiller;AOC;AOP;Alsace Blienschwiller blanc Sylvaner
