CI;Commune;Aire géographique;IDA
2A001;Afa;Ajaccio;1316
2A004;Ajaccio;Ajaccio;1316
2A006;Alata;Ajaccio;1316
2A008;Albitreccia;Ajaccio;1316
2A014;Ambiegna;Ajaccio;1316
2A017;Appietto;Ajaccio;1316
2A019;Arbori;Ajaccio;1316
2A022;Arro;Ajaccio;1316
2A032;Bastelicaccia;Ajaccio;1316
2A048;Calcatoggio;Ajaccio;1316
2A060;Cannelle;Ajaccio;1316
2A062;Carbuccia;Ajaccio;1316
2A065;Cargèse;Ajaccio;1316
2A070;Casaglione;Ajaccio;1316
2A071;Casalabriva;Ajaccio;1316
2A085;Cauro;Ajaccio;1316
2A090;Coggia;Ajaccio;1316
2A091;Cognocoli-Monticchi;Ajaccio;1316
2A098;Coti-Chiavari;Ajaccio;1316
2A103;Cuttoli-Corticchiato;Ajaccio;1316
2A104;Eccica-Suarella;Ajaccio;1316
2A130;Grosseto-Prugna;Ajaccio;1316
2A181;Ocana;Ajaccio;1316
2A209;Peri;Ajaccio;1316
2A212;Piana;Ajaccio;1316
2A228;Pietrosella;Ajaccio;1316
2A232;Pila-Canale;Ajaccio;1316
2A295;Sant'Andréa-d'Orcino;Ajaccio;1316
2A270;Sari-d'Orcino;Ajaccio;1316
2A271;Sarrola-Carcopino;Ajaccio;1316
2A276;Serra-di-Ferro;Ajaccio;1316
2A323;Tavaco;Ajaccio;1316
2A336;Valle-di-Mezzana;Ajaccio;1316
2A345;Vero;Ajaccio;1316
2A348;Vico;Ajaccio;1316
2A351;Villanova;Ajaccio;1316
21010;Aloxe-Corton;Aloxe-Corton;220
21606;Ladoix-Serrigny;Aloxe-Corton;220
21480;Pernand-Vergelesses;Aloxe-Corton;220
21010;Aloxe-Corton;Aloxe-Corton premier cru;235
21606;Ladoix-Serrigny;Aloxe-Corton premier cru;235
21010;Aloxe-Corton;Aloxe-Corton premier cru Clos des Maréchaudes;221
21606;Ladoix-Serrigny;Aloxe-Corton premier cru Clos des Maréchaudes;221
21010;Aloxe-Corton;Aloxe-Corton premier cru Clos du Chapitre;222
21606;Ladoix-Serrigny;Aloxe-Corton premier cru La Coutière;223
21606;Ladoix-Serrigny;Aloxe-Corton premier cru La Maréchaude;224
21606;Ladoix-Serrigny;Aloxe-Corton premier cru La Toppe au Vert;225
21010;Aloxe-Corton;Aloxe-Corton premier cru Les Chaillots;226
21010;Aloxe-Corton;Aloxe-Corton premier cru Les Fournières;227
21010;Aloxe-Corton;Aloxe-Corton premier cru Les Guérets;228
21010;Aloxe-Corton;Aloxe-Corton premier cru Les Maréchaudes;229
21010;Aloxe-Corton;Aloxe-Corton premier cru Les Moutottes;230
21606;Ladoix-Serrigny;Aloxe-Corton premier cru Les Paulands;231
21010;Aloxe-Corton;Aloxe-Corton premier cru Les Petites Folières;232
21606;Ladoix-Serrigny;Aloxe-Corton premier cru Les Valozières;233
21010;Aloxe-Corton;Aloxe-Corton premier cru Les Vercots;234
67051;Blienschwiller;Alsace Blienschwiller;2302
68255;Pfaffenheim;Alsace Côte de Rouffach;2309
68287;Rouffach;Alsace Côte de Rouffach;2309
68364;Westhalten;Alsace Côte de Rouffach;2309
67021;Barr;Alsace Côtes de Barr;2306
67030;Bergbieten;Alsace grand cru Altenberg de Bergbieten;3
68028;Bergheim;Alsace grand cru Altenberg de Bergheim;4
67554;Wolxheim;Alsace grand cru Altenberg de Wolxheim;5
68338;Turckheim;Alsace grand cru Brand;6
67300;Molsheim;Alsace grand cru Bruderthal;7
68078;Eguisheim;Alsace grand cru Eichberg;8
67081;Dahlenheim;Alsace grand cru Engelberg;9
67442;Scharrachbergheim-Irmstett;Alsace grand cru Engelberg;9
68155;Ingersheim;Alsace grand cru Florimont;10
68161;Katzenthal;Alsace grand cru Florimont;10
67084;Dambach-la-Ville;Alsace grand cru Frankstein;11
68383;Zellenberg;Alsace grand cru Froehn;12
68164;Kientzheim;Alsace grand cru Furstentum;13
68310;Sigolsheim;Alsace grand cru Furstentum;13
68269;Ribeauvillé;Alsace grand cru Geisberg;14
68280;Rodern;Alsace grand cru Gloeckelberg;15
68296;Saint-Hippolyte;Alsace grand cru Gloeckelberg;15
68111;Gueberschwihr;Alsace grand cru Goldert;16
68123;Hattstatt;Alsace grand cru Hatschbourg;17
68350;Voegtlinshoffen;Alsace grand cru Hatschbourg;17
68374;Wintzenheim;Alsace grand cru Hengst;18
68005;Ammerschwihr;Alsace grand cru Kaefferkopf;1653
68028;Bergheim;Alsace grand cru Kanzlerberg;19
67010;Andlau;Alsace grand cru Kastelberg;20
68112;Guebwiller;Alsace grand cru Kessler;21
67021;Barr;Alsace grand cru Kirchberg de Barr;22
68269;Ribeauvillé;Alsace grand cru Kirchberg de Ribeauvillé;23
68112;Guebwiller;Alsace grand cru Kitterlé;24
68310;Sigolsheim;Alsace grand cru Mambourg;25
68023;Beblenheim;Alsace grand cru Mandelberg ;26
68209;Mittelwihr;Alsace grand cru Mandelberg ;26
68026;Bennwihr;Alsace grand cru Marckrain;27
68310;Sigolsheim;Alsace grand cru Marckrain;27
67010;Andlau;Alsace grand cru Moenchberg;28
67120;Eichhoffen;Alsace grand cru Moenchberg;28
67337;Nothalten;Alsace grand cru Muenchberg;29
68381;Wuenheim;Alsace grand cru Ollwiller;30
68269;Ribeauvillé;Alsace grand cru Osterberg;31
68078;Eguisheim;Alsace grand cru Pfersigberg;32
68365;Wettolsheim;Alsace grand cru Pfersigberg;32
68250;Orschwihr;Alsace grand cru Pfingstberg;33
67239;Kintzheim;Alsace grand cru Praelatenberg;34
68334;Thann;Alsace grand cru Rangen;35
68348;Vieux-Thann;Alsace grand cru Rangen;35
68147;Hunawihr;Alsace grand cru Rosacker;36
68112;Guebwiller;Alsace grand cru Saering;37
68164;Kientzheim;Alsace grand cru Schlossberg;38
68277;Riquewihr;Alsace grand cru Schoenenbourg;39
68383;Zellenberg;Alsace grand cru Schoenenbourg;39
68161;Katzenthal;Alsace grand cru Sommerberg;40
68237;Niedermorschwihr;Alsace grand cru Sommerberg;40
68023;Beblenheim;Alsace grand cru Sonnenglanz;41
68029;Bergholtz;Alsace grand cru Spiegel;42
68112;Guebwiller;Alsace grand cru Spiegel;42
68277;Riquewihr;Alsace grand cru Sporen;43
68255;Pfaffenheim;Alsace grand cru Steinert;44
68364;Westhalten;Alsace grand cru Steinert;44
68365;Wettolsheim;Alsace grand cru Steingrubler;45
67282;Marlenheim;Alsace grand cru Steinklotz;46
68287;Rouffach;Alsace grand cru Vorbourg;47
68364;Westhalten;Alsace grand cru Vorbourg;47
67010;Andlau;Alsace grand cru Wiebelsberg;48
68005;Ammerschwihr;Alsace grand cru Wineck-Schlossberg;49
68161;Katzenthal;Alsace grand cru Wineck-Schlossberg;49
67051;Blienschwiller;Alsace grand cru Winzenberg;50
68318;Soultzmatt;Alsace grand cru Zinnkoepfle;51
68364;Westhalten;Alsace grand cru Zinnkoepfle;51
67295;Mittelbergheim;Alsace grand cru Zotzenberg;52
67060;Bourgheim;Alsace Klevener de Heiligenstein;2
67155;Gertwiller;Alsace Klevener de Heiligenstein;2
67164;Goxwiller;Alsace Klevener de Heiligenstein;2
67189;Heiligenstein;Alsace Klevener de Heiligenstein;2
67348;Obernai;Alsace Klevener de Heiligenstein;2
67348;Obernai;Alsace Ottrott;2311
67368;Ottrott;Alsace Ottrott;2311
68280;Rodern;Alsace Rodern;2312
68296;Saint-Hippolyte;Alsace Rodern;2312
67362;Orschwiller;Alsace Saint-Hippolyte;2313
68296;Saint-Hippolyte;Alsace Saint-Hippolyte;2313
67445;Scherwiller;Alsace Scherwiller;2314
67003;Albé;Alsace suivi ou non d'un nom de lieu-dit;1
67010;Andlau;Alsace suivi ou non d'un nom de lieu-dit;1
67016;Avolsheim;Alsace suivi ou non d'un nom de lieu-dit;1
67018;Balbronn;Alsace suivi ou non d'un nom de lieu-dit;1
67021;Barr;Alsace suivi ou non d'un nom de lieu-dit;1
67030;Bergbieten;Alsace suivi ou non d'un nom de lieu-dit;1
67031;Bernardswiller;Alsace suivi ou non d'un nom de lieu-dit;1
67032;Bernardvillé;Alsace suivi ou non d'un nom de lieu-dit;1
67045;Bischoffsheim;Alsace suivi ou non d'un nom de lieu-dit;1
67051;Blienschwiller;Alsace suivi ou non d'un nom de lieu-dit;1
67060;Bourgheim;Alsace suivi ou non d'un nom de lieu-dit;1
67052;Boersch;Alsace suivi ou non d'un nom de lieu-dit;1
67073;Châtenois;Alsace suivi ou non d'un nom de lieu-dit;1
67074;Cleebourg;Alsace suivi ou non d'un nom de lieu-dit;1
67081;Dahlenheim;Alsace suivi ou non d'un nom de lieu-dit;1
67084;Dambach-la-Ville;Alsace suivi ou non d'un nom de lieu-dit;1
67085;Dangolsheim;Alsace suivi ou non d'un nom de lieu-dit;1
67094;Dieffenthal;Alsace suivi ou non d'un nom de lieu-dit;1
67101;Dorlisheim;Alsace suivi ou non d'un nom de lieu-dit;1
67120;Eichhoffen;Alsace suivi ou non d'un nom de lieu-dit;1
67125;Epfig;Alsace suivi ou non d'un nom de lieu-dit;1
67127;Ergersheim;Alsace suivi ou non d'un nom de lieu-dit;1
67139;Flexbourg;Alsace suivi ou non d'un nom de lieu-dit;1
67150;Furdenheim;Alsace suivi ou non d'un nom de lieu-dit;1
