Code INSEE;Code Postal;Commune
32460;32720;VERGOIGNAN
51141;51240;LA CHAUSSEE-SUR-MARNE
77130;77580;COULOMMES
63379;63460;SAINT-MYON
62050;62770;AUCHY-LES-HESDIN
13020;13950;CADOLIVE
94017;94500;CHAMPIGNY-SUR-MARNE
95370;95640;MARINES
87062;87400;EYBOULEUF
37159;37260;MONTS
38286;38520;OULLES
46253;46310;SAINT-CHAMARAND
80579;80400;MUILLE-VILLETTE
52204;52700;FORCEY
60187;60850;CUIGY-EN-BRAY
24161;24400;EGLISE-NEUVE-D'ISSAC
6149;6340;LA TRINITE
2A141;20160;LETIA
30036;30620;BERNIS
72019;72350;AVESSE
72087;72120;CONFLANS-SUR-ANILLE
16347;16210;SAINT-ROMAIN
58108;58140;EMPURY
54387;54700;MORVILLE-SUR-SEILLE
22190;22490;PLESLIN-TRIGAVOU
62604;62152;NEUFCHATEL-HARDELOT
53039;53410;LE BOURGNEUF-LA-FORET
55397;55140;PAGNY-LA-BLANCHE-COTE
60645;60590;TRIE-LA-VILLE
39505;39130;SAUGEOT
88100;88500;CHEF-HAUT
44131;44210;PORNIC
59249;59610;FOURMIES
17005;17150;ALLAS-BOCAGE
2668;2120;SAINS-RICHAUMONT
51480;51700;SAINTE-GEMME
70235;70000;FLAGY
52395;52160;POINSON-LES-GRANCEY
54457;54370;REMONCOURT
16285;16320;ROUGNAC
81058;81570;CARBES
91099;91820;BOUTIGNY-SUR-ESSONNE
27327;27110;HECTOMARE
33214;33680;LACANAU
57388;57480;LAUNSTROFF
97308;97313;SAINT-GEORGES
2B335;20221;VALLE-DI-CAMPOLORO
3255;3800;SAINT-PRIEST-D'ANDELOT
55349;55110;MONTIGNY-DEVANT-SASSEY
5117;5150;RIBEYRET
33531;33420;TIZAC-DE-CURTON
49351;49120;LA TOURLANDRY
54279;54700;JEZAINVILLE
17402;17240;SAINT-SIGISMOND-DE-CLERMONT
67514;67430;WALDHAMBACH
49266;49170;SAINT-AUGUSTIN-DES-BOIS
73014;73200;ALLONDAZ
19198;19210;SAINT-ELOY-LES-TUILERIES
33358;33760;ROMAGNE
59640;59144;WARGNIES-LE-PETIT
24239;24460;LIGUEUX
57505;57565;NIDERVILLER
79187;79150;MOUTIERS-SOUS-ARGENTON
57116;57420;BUCHY
3176;3500;MONETAY-SUR-ALLIER
4069;4120;DEMANDOLX
10040;10130;BERNON
74274;74150;VAL-DE-FIER
18167;18310;NOHANT-EN-GRACAY
61124;61220;LA COULONCHE
8335;8430;OMONT
32026;32120;BAJONNETTE
78601;78120;SONCHAMP
56103;56120;LANTILLAC
55232;55160;HARVILLE
22229;22110;PLOUNEVEZ-QUINTIN
8149;8150;L'ECHELLE
62671;62860;PRONVILLE
76695;76110;TOCQUEVILLE-LES-MURS
97356;97330;CAMOPI
97602;97650;BANDRABOUA
97609;97625;KANI-KELI
2652;2140;ROGNY
39352;39700;MONTEPLAIN
4214;4330;TARTONNE
38213;38690;LONGECHENAL
21121;21540;BUSSY-LA-PESLE
49320;49270;SAINT-SAUVEUR-DE-LANDEMONT
51537;51800;SIVRY-ANTE
2568;2600;OIGNY-EN-VALOIS
70511;70180;VAITE
31451;31250;REVEL
40036;40230;BENESSE-MAREMNE
25125;25380;CHARMOILLE
71333;71380;OSLON
30130;30450;GENOLHAC
85156;85540;MOUTIERS-LES-MAUXFAITS
54278;54740;JEVONCOURT
14041;14600;BARNEVILLE-LA-BERTRAN
53098;53350;FONTAINE-COUVERTE
74177;74350;MENTHONNEX-EN-BORNES
14047;14400;BAYEUX
87105;87130;NEUVIC-ENTIER
69192;69870;SAINT-CYR-LE-CHATOUX
60089;60240;BOUBIERS
66221;66320;VALMANYA
8377;8350;SAINT-AIGNAN
36054;36700;CLERE-DU-BOIS
9201;9200;MONTEGUT-EN-COUSERANS
32283;32730;MONTEGUT-ARROS
3300;3220;VAUMAS
81207;81440;PEYREGOUX
2206;2120;COLONFAY
61372;61250;SAINT-CENERI-LE-GEREI
57278;57670;GUINZELING
39472;39230;RYE
3072;3370;CHAZEMAIS
30124;30760;LE GARN
27202;27430;DAUBEUF-PRES-VATTEVILLE
54386;54830;MORIVILLER
72032;72320;BERFAY
70008;70800;AINVELLE
66146;66760;PORTA
18127;18160;LIGNIERES
89333;89420;SAINT-ANDRE-EN-TERRE-PLAINE
82173;82600;SAINT-SARDOS
76063;76890;BEAUVAL-EN-CAUX
4063;4220;CORBIERES
33289;33580;MONSEGUR
79217;79370;PRAILLES
33147;33420;DAIGNAC
47091;47310;ESTILLAC
59035;59440;AVESNELLES
2B036;20252;BIGORNO
74016;74160;ARCHAMPS
38012;38490;AOSTE
45072;45400;CHANTEAU
32101;32500;CERAN
2034;2300;AUDIGNICOURT
55128;55260;COURCELLES-SUR-AIRE
37098;37800;DRACHE
15120;15200;MAURIAC
71567;71960;VERGISSON
49273;49230;SAINT-CRESPIN-SUR-MOINE
80788;80270;VERGIES
21373;21410;MALAIN
21407;21220;MESSANGES
74270;74210;SEYTHENEX
62849;62180;VERTON
35256;35800;SAINT-BRIAC-SUR-MER
47186;47130;MONTESQUIEU
82057;82170;FABAS
79265;79100;SAINT-LEGER-DE-MONTBRUN
8461;8400;VANDY
37111;37460;GENILLE
32433;32420;SIMORRE
2580;2210;OULCHY-LE-CHATEAU
85164;85690;NOTRE-DAME-DE-MONTS
86173;86200;MOUTERRE-SILLY
92049;92120;MONTROUGE
17103;17380;CHERVETTES
59085;59268;BLECOURT
65287;65370;LOURES-BAROUSSE
39120;39300;CHATELNEUF
78385;78200;MENERVILLE
63383;63610;SAINT-PIERRE-COLAMINE
29295;29800;TREMAOUEZAN
64077;64450;AUGA
89248;89450;MENADES
76010;76760;ANCRETIEVILLE-SAINT-VICTOR
60505;60520;PONTARME
87007;87290;BALLEDENT
2431;2700;LIEZ
12106;12340;GABRIAC
17061;17210;BRAN
60652;60790;VALDAMPIERRE
27203;27120;DOUAINS
60360;60140;LIANCOURT
61405;61340;SAINT-HILAIRE-SUR-ERRE
77341;77114;NOYEN-SUR-SEINE
6077;6440;LUCERAM
49092;49120;CHEMILLE
56163;56160;PLOERDUT
68037;68127;BILTZHEIM
68246;68600;OBERSAASHEIM
7102;7500;GUILHERAND-GRANGES
76202;76660;CROIXDALLE
27159;27160;CINTRAY
14614;14330;SAINTE-MARGUERITE-D'ELLE
60235;60590;FLAVACOURT
94034;94260;FRESNES
91244;91540;FONTENAY-LE-VICOMTE
88012;88380;ARCHETTES
5029;5260;CHABOTTES
57179;57925;DISTROFF
16415;16430;VINDELLE
58140;58370;LAROCHEMILLAY
81215;81390;PUYBEGON
21170;21200;CHEVIGNY-EN-VALIERE
67448;67130;SCHIRMECK
76596;76700;SAINT-LAURENT-DE-BREVEDENT
61394;61130;SAINT-GERMAIN-DE-LA-COUDRE
47117;47340;HAUTEFAGE-LA-TOUR
25327;25250;LANTHENANS
91340;91090;LISSES
65414;65140;SEGALAS
43143;43260;MONTUSCLAT
81122;81340;LACAPELLE-PINET
59499;59122;REXPOEDE
28168;28320;GALLARDON
84051;84220;GOULT
59308;59190;HONDEGHEM
29173;29710;PLONEIS
35341;35460;TREMBLAY
21631;21360;THOMIREY
88475;88320;TOLLAINCOURT
22063;22290;GOMMENEC'H
25228;25460;ETUPES
35259;35120;SAINT-BROLADRE
54271;54450;IGNEY
35261;35140;SAINT-CHRISTOPHE-DE-VALAINS
28128;28190;DANGERS
64458;64190;PRECHACQ-JOSBAIG
25055;25410;BERTHELANGE
2B206;20290;PENTA-ACQUATELLA
62113;62690;BERLES-MONCHEL
33476;33180;SAINT-SEURIN-DE-CADOURNE
38400;38430;SAINT-JEAN-DE-MOIRANS
26192;26770;MONTBRISON-SUR-LEZ
19001;19260;AFFIEUX
67100;67170;DONNENHEIM
60448;60890;NEUFCHELLES
71005;71510;ALUZE
7185;7290;PREAUX
40214;40290;OSSAGES
21714;21700;VOSNE-ROMANEE
16241;16230;NANCLARS
25088;25640;BRECONCHAUX
88051;88800;BELMONT-SUR-VAIR
16276;16360;REIGNAC
58029;58210;BEUVRON
8030;8380;AUGE
11193;11270;LASSERRE-DE-PROUILLE
57627;57530;SANRY-SUR-NIED
65435;65260;SOULOM
42140;42560;MAROLS
57571;57510;REMERING-LES-PUTTELANGE
25242;25640;FLAGEY-RIGNEY
6108;6550;LA ROQUETTE-SUR-SIAGNE
55118;55110;CLERY-LE-GRAND
12078;12400;LES COSTES-GOZON
76656;76890;SAINT-VICTOR-L'ABBAYE
61249;61570;MARCEI
3086;3470;COULANGES
47120;47180;JUSIX
12077;12540;CORNUS
4019;4400;BARCELONNETTE
2752;2640;TUGNY-ET-PONT
95197;95170;DEUIL-LA-BARRE
88503;88110;VEXAINCOURT
72362;72170;LE TRONCHET
49190;49410;LE MARILLAIS
51564;51150;TAUXIERES-MUTRY
39056;39140;BLETTERANS
41025;41250;BRACIEUX
5080;5140;MONTBRAND
51597;51480;VAUCIENNES
89400;89520;SOUGERES-EN-PUISAYE
57214;57570;FIXEM
35009;35120;BAGUER-MORVAN
12167;12270;NAJAC
2B057;20230;CANALE-DI-VERDE
38416;38160;SAINT-MARCELLIN
59135;59670;CASSEL
34134;34880;LAVERUNE
83033;83660;CARNOULES
16158;16380;GRASSAC
64224;64400;EYSUS
51604;51140;VENTELAY
18028;18500;BERRY-BOUY
78324;78200;JOUY-MAUVOISIN
41193;41270;ROMILLY
76323;76270;GRAVAL
55412;55300;RAMBUCOURT
5160;5300;SALERANS
31021;31800;ASPRET-SARRAT
76491;76760;OUVILLE-L'ABBAYE
7229;7200;SAINT-DIDIER-SOUS-AUBENAS
12232;12250;SAINT-JEAN-ET-SAINT-PAUL
5136;5600;SAINT-CREPIN
71499;71410;SANVIGNES-LES-MINES
70305;70100;LOEUILLEY
55409;55250;PRETZ-EN-ARGONNE
38497;38350;SOUSVILLE
25046;25380;BATTENANS-VARIN
30108;30124;L'ESTRECHURE
79048;79260;LA CRECHE
71062;71190;BRION
16250;16220;ORGEDEUIL
53091;53190;DESERTINES
43053;43260;CHAMPCLAUSE
39343;39320;MONNETAY
43144;43150;MOUDEYRES
6107;6910;ROQUESTERON-GRASSE
81088;81120;FAUCH
31115;31230;CASTELGAILLARD
62742;62170;SAINT-AUBIN
49005;49220;ANDIGNE
16179;16300;LAMERAC
37156;37270;MONTLOUIS-SUR-LOIRE
21117;21510;BUSSEAUT
62568;62217;MERCATEL
84089;84120;PERTUIS
83101;83350;RAMATUELLE
22136;22600;LOUDEAC
2030;2420;AUBENCHEUL-AUX-BOIS
23045;23170;CHAMBON-SUR-VOUEIZE
16201;16250;MAINFONDS
1152;1130;ECHALLON
72076;72610;CHENAY
80598;80860;NOUVION
70375;70130;MOTEY-SUR-SAONE
21421;21120;MOLOY
22391;22350;YVIGNAC-LA-TOUR
28348;28350;SAINT-LUBIN-DES-JONCHERETS
25548;25190;SOLEMONT
2443;2400;LUCY-LE-BOCAGE
71335;71800;OUROUX-SOUS-LE-BOIS-SAINTE-MARIE
40026;40500;BAS-MAUCO
54250;54110;HARAUCOURT
24286;24350;MONTAGRIER
8178;8220;FRAILLICOURT
65304;65700;MAUBOURGUET
67229;67440;JETTERSWILLER
61222;61100;LANDISACQ
70489;70440;SERVANCE
32229;32120;MANSEMPUY
55488;55000;SILMONT
22196;22740;PLEUDANIEL
7166;7270;NOZIERES
85188;85210;LA REORTHE
2207;2300;COMMENCHON
53233;53290;SAINT-LOUP-DU-DORAT
25434;25290;ORNANS
61017;61240;LES AUTHIEUX-DU-PUITS
27584;27800;SAINT-PAUL-DE-FOURQUES
47170;47290;MONBAHUS
15228;15150;SIRAN
77369;77470;POINCY
80651;80430;LE QUESNE
2561;2860;NOUVION-LE-VINEUX
31184;31130;FLOURENS
71187;71210;ECUISSES
64327;64220;LECUMBERRY
79261;79380;SAINT-JOUIN-DE-MILLY
15266;15130;YOLET
36094;36370;LIGNAC
85307;85460;LA FAUTE-SUR-MER
21097;21350;BOUSSEY
27205;27380;DOUVILLE-SUR-ANDELLE
87080;87890;JOUAC
28185;28410;GOUSSAINVILLE
77406;77510;SAINT-DENIS-LES-REBAIS
44189;44160;SAINTE-REINE-DE-BRETAGNE
11057;11420;CAHUZAC
70099;70180;BROTTE-LES-RAY
2B109;20253;FARINOLE
35295;35750;SAINT-MAUGAN
48028;48400;LES BONDONS
49186;49320;LUIGNE
89019;89740;ARTHONNAY
50425;50260;RAUVILLE-LA-BIGOT
37006;37260;ARTANNES-SUR-INDRE
82039;82440;CAYRAC
30236;30460;SAINT-BONNET-DE-SALENDRINQUE
12067;12540;LE CLAPIER
49036;49520;BOUILLE-MENARD
58232;58270;SAINT-BENIN-D'AZY
28130;28250;DIGNY
60609;60650;SAVIGNIES
30250;30360;SAINT-ETIENNE-DE-L'OLM
70287;70210;HURECOURT
57291;57370;HANGVILLER
